Resource,Battery_A_Existing,Battery_A_New,Battery_B_New,Battery_C_Existing,Battery_C_New,Battery_D_Existing,Battery_D_New,Battery_E_New,Battery_F_Existing,Battery_F_New,Battery_G_Existing,Battery_G_New,Battery_H_New,Battery_I_New,Battery_J_New,Battery_K_New,Hydro_A,Hydro_B,Hydro_C,Hydro_D,Hydro_E,Hydro_F,Hydro_G,PumpedHydro_A,PumpedHydro_F,Total
t9,49.78338041647806,0.0,0.0,1.418218917030275,153.03996462612764,24.89169020823903,119.13408809704704,40.05266382180732,49.78338041647806,0.0,3.7337535312358567,0.0,0.0,0.0,0.0,0.0,30765.14831302031,498.0472206923684,1253.7976290071351,13264.346134182491,4357.1012065370305,3405.9782779368907,885.2199563800125,2784.7659323367434,13517.618078585067,71173.85988871248
t10,49.76346706431147,0.0,0.0,1.417651629463463,152.9787486402772,24.881733532155735,119.08643446180822,40.0366427562786,49.76346706431147,0.0,3.7322600298233626,0.0,0.0,0.0,0.0,0.0,30636.8950873875,542.6393505769737,1244.3971548085622,13164.89536101899,4324.676508171288,3381.046208452668,878.377729311125,2736.510621557829,13417.022598231333,70768.1210246947
t11,49.74356167748575,0.0,0.0,1.4170845688116775,152.9175571408211,24.871780838742875,119.0387998880235,40.02062809917609,49.74356167748575,0.0,3.7307671258114334,0.0,0.0,0.0,0.0,0.0,30624.472487518135,587.2314804615789,1246.6000000000001,13387.101546327001,4479.201809805546,3356.1141389684453,876.5599781900063,2688.2553107789145,13316.4271178776,71003.44761094358
t12,49.723664252814764,0.0,0.0,1.416517734984153,152.85639011796476,24.861832126407382,118.9911843680683,40.004619847936425,49.723664252814764,0.0,3.729274818961109,0.0,0.0,0.0,0.0,0.0,31692.308915400725,631.8236103461842,1246.6000000000001,13287.6507731635,4486.799999999999,3331.1820694842227,914.1922270688876,2760.0,13215.831637523866,72007.69638050735
t13,49.703774787113645,0.0,0.0,2.485188739355683,152.7952475619176,24.851887393556822,134.05590323780802,60.825038092534726,49.703774787113645,0.0,3.7277831090335245,0.0,0.0,0.0,0.0,0.0,31764.287254670104,676.4157402307894,1300.8000000000002,13761.599999999999,4486.799999999999,3450.0,946.8000000000001,2880.0,13695.236157170133,73440.08774977946
t14,86.4838932771988,0.0,0.0,4.324194663859941,205.07615942594524,43.2419466385994,179.9249009577052,81.63712816983518,86.4838932771988,0.0,6.4862919957899114,0.0,0.0,0.0,0.0,0.0,33158.25885587819,689.1078701153947,1300.8000000000002,13761.599999999999,4454.375301634257,3425.0679305157773,939.9577729311126,2880.0,13594.6406768164,74897.46681629727
t15,123.24929971988794,0.0,0.0,6.162464985994398,257.33615892522874,61.62464985994397,225.7755510785144,102.44089341110471,123.24929971988794,0.0,9.243697478991596,0.0,0.0,0.0,0.0,0.0,34376.399999999994,733.6999999999999,1291.399525801427,13662.149226836498,4436.666283998787,3400.1358610315547,946.8000000000001,2880.0,13494.045196462666,76130.37810931048
t16,160.0,-2.0926748840313476e-13,0.0,8.0,309.57525442471257,80.0,271.6078609392753,123.23633714627776,160.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,34376.399999999994,765.5999999999999,1300.8000000000002,13761.599999999999,4486.799999999999,3450.0,946.8000000000001,2880.0,13920.0,77012.41945251025
t17,159.936,0.0,0.0,7.9968,309.45142432294267,79.968,271.4992177948996,123.18704261141926,159.936,0.0,11.9952,0.0,0.0,0.0,0.0,0.0,34376.399999999994,765.5999999999999,1300.8000000000002,13761.599999999999,4486.799999999999,3450.0,946.8000000000001,2880.0,13920.0,77011.96968472925
t18,159.8720256,0.0,0.0,7.993601280000001,309.3276437532135,79.9360128,271.3906181077817,123.1377677943747,159.8720256,0.0,11.990401920000002,0.0,0.0,0.0,0.0,0.0,33800.41254671518,752.7721298846052,1291.399525801427,13662.149226836498,4454.375301634257,3425.0679305157773,939.9577729311126,2831.7446892210855,13819.404519646267,76100.80374004158
