Region,Resource,Zone,Cluster,AnnualSum
D,SolarBTM_D_New,4,1,0.0
E,SolarBTM_E_New,5,1,0.0
F,SolarBTM_F_New,6,1,0.0
G,SolarBTM_G_New,7,1,0.0
H,SolarBTM_H_New,8,1,0.0
I,SolarBTM_I_New,9,1,0.0
J,SolarBTM_J_New,10,1,0.0
K,SolarBTM_K_New,11,1,0.0
A,SolarUtility_A_New,1,1,0.0
B,SolarUtility_B_New,2,1,0.0
C,SolarUtility_C_Existing,3,1,0.0
C,SolarUtility_C_New,3,1,0.0
D,SolarUtility_D_New,4,1,0.0
E,SolarUtility_E_New,5,1,0.0
F,SolarUtility_F_Existing,6,1,0.0
F,SolarUtility_F_New,6,1,0.0
G,SolarUtility_G_New,7,1,0.0
H,SolarUtility_H_New,8,1,0.0
I,SolarUtility_I_New,9,1,0.0
J,SolarUtility_J_New,10,1,0.0
K,SolarUtility_K_Existing,11,1,0.0
K,SolarUtility_K_New,11,1,0.0
J,WindOffshore_J_New,10,1,0.0
K,WindOffshore_K_New,11,1,0.0
A,WindLand_A_Existing,1,1,0.0
A,WindLand_A_New,1,1,0.0
B,WindLand_B_Existing,2,1,0.0
B,WindLand_B_New,2,1,0.0
C,WindLand_C_Existing,3,1,0.0
C,WindLand_C_New,3,1,0.0
D,WindLand_D_Existing,4,1,0.0
D,WindLand_D_New,4,1,0.0
E,WindLand_E_Existing,5,1,0.0
E,WindLand_E_New,5,1,0.0
F,WindLand_F_New,6,1,0.0
G,WindLand_G_New,7,1,0.0
H,WindLand_H_New,8,1,0.0
I,WindLand_I_New,9,1,0.0
J,WindLand_J_New,10,1,0.0
K,WindLand_K_New,11,1,0.0
A,Battery_A_Existing,1,1,497229.10682078445
A,Battery_A_New,1,1,2.4571744013223565e-11
B,Battery_B_New,2,1,0.0
C,Battery_C_Existing,3,1,25777.766885802466
C,Battery_C_New,3,1,928026.3775463467
D,Battery_D_Existing,4,1,272836.5286096094
D,Battery_D_New,4,1,808357.5582199263
E,Battery_E_New,5,1,368568.0646225622
F,Battery_F_Existing,6,1,546889.5241768168
F,Battery_F_New,6,1,6.06399606704334e-12
G,Battery_G_Existing,7,1,38324.38880478723
G,Battery_G_New,7,1,6.784093986986282e-10
H,Battery_H_New,8,1,-5.1114013557743235e-11
I,Battery_I_New,9,1,4.1935141989679306e-11
J,Battery_J_New,10,1,0.0
K,Battery_K_New,11,1,1.4902510386917303e-10
