Zone,1,2,3,4,5,6,7,8,9,10,11,Total
t52,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t53,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t54,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t55,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,77.02198419841369,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2537.2138981738517
t56,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,272.23946356841395,194.103778697335,0.0,0.0,1233.114097529285,238.15277314113257,2926.535156241187
t57,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,403.8360478475879,363.9445850575031,0.0,0.0,1233.114097529285,238.15277314113257,3227.972546880529
t58,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,525.4707660334317,467.0853670245091,0.0,0.0,1233.114097529285,238.15277314113257,3452.7480470333785
t59,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,475.61610926756083,460.13270547137023,0.0,0.0,1233.114097529285,238.15277314113257,3395.940728714369
t60,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,310.5945064775401,290.29189911120216,0.0,0.0,1233.114097529285,238.15277314113257,3061.07831956418
t61,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,141.50740233363422,194.103778697335,0.0,0.0,1233.114097529285,238.15277314113257,2795.803095006407
t62,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,209.56032594137423,131.78990924932387,0.0,0.0,1233.114097529285,238.15277314113257,2801.5421491661364
t63,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,310.73058120355523,210.46594854667765,0.0,0.0,1233.114097529285,238.15277314113257,2981.388443725671
t64,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,568.8879431969884,210.46594854667765,0.0,0.0,1233.114097529285,238.15277314113257,3239.5458057191045
t65,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,761.8775588070623,341.4114333010684,0.0,0.0,1233.114097529285,238.15277314113257,3563.4809060835687
t66,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1028.3259841603988,341.4114333010684,0.0,0.0,1233.114097529285,238.15277314113257,3829.929331436905
t67,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1080.6673731027913,341.4114333010684,0.0,0.0,1233.114097529285,238.15277314113257,3882.270720379298
t68,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,1080.6673731027913,230.18555543849453,0.0,0.0,1233.114097529285,238.15277314113257,3771.044842516724
t69,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,875.0484319786156,144.13796469796338,0.0,0.0,1233.114097529285,238.15277314113257,3479.378310652017
t70,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,574.2642715249737,76.87358117224714,0.0,0.0,1233.114097529285,238.15277314113257,3111.3297666726585
t71,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,365.29562152364036,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2825.487535499078
t72,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,149.05795541011153,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2609.2498693855496
t73,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t74,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t75,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t76,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t77,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,0.0,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2460.191913975438
t78,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,106.90603081627435,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2567.0979447917125
t79,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,253.62235348159254,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2713.814267457031
t80,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,531.9942742664809,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2992.186188241919
t81,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,577.0429868710631,0.0,0.0,0.0,1233.114097529285,238.15277314113257,3037.2349008465008
t82,144.62647191347267,41.183706526774465,521.197201289851,207.58817317499137,74.32949039993106,467.5328642117243,0.0,0.0,0.0,1233.114097529285,238.15277314113257,2927.724778187162
