region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
K,CombustionTurbine_FuelOil2_K_New,11,1,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,CombustionTurbine_FuelOil2_K_Existing,11,1,47,0.0,0.0,0.0,1.9051868757707924e7,0.0,0.0,116490.7192470931,2.9572043250993644e6,0.0,0.0,0.0,0.0,1.0009449407846498e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0009449407846498e8,2.212556380205438e7,7.796893027641061e7
K,CombustionTurbine_NaturalGas_K_New,11,1,48,9.522656025136197e7,0.0,0.0,9.83170428352163e6,0.0,0.0,986801.0879602742,5.250549359552045e6,0.0,0.0,0.0,0.0,1.1129561498239596e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1129561498239596e8,1.112956149823959e8,5.960464477539063e-8
K,CombustionTurbine_NaturalGas_K_Existing,11,1,49,0.0,0.0,0.0,2.5383207189050984e7,0.0,0.0,1.701449601713264e6,8.99285144783788e6,0.0,0.0,0.0,0.0,1.4631248171842128e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4631248171842128e8,3.6077508238602124e7,1.1023497347981915e8
K,SteamTurbine_NaturalGas_K_New,11,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,SteamTurbine_NaturalGas_K_Existing,11,1,51,0.0,0.0,0.0,4.9594689534409046e8,0.0,0.0,9.33261254788387e6,2.1626535234276634e7,0.0,0.0,0.0,0.0,9.543357896647187e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.543357896647187e8,5.26906043126251e8,4.2742974653846776e8
A,Nuclear_A_New,1,1,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,Nuclear_B_New,2,1,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,Nuclear_B_Existing,2,1,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,Nuclear_C_New,3,1,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
