Line,1,2,3,4,5,6,7,8,9,10,11,12
t12,-1014.5378682649956,-1600.0,-3273.4612606028677,-548.9957914157302,3600.0,-7969.691539876851,3800.0827545871534,652.0617635655599,438.80932206631945,4386.056880567079,-4520.0,-63.435248438350754
t13,-961.1250360229741,-1600.0,-3303.3024287463822,-569.1816036807361,3600.0,-8016.025262316097,3767.4052238480836,760.4202360989639,553.2265159693034,4513.4327958396425,-4520.0,33.45047543934197
t14,-952.8788730106409,-1600.0,-3304.587320252268,-543.481603680736,3600.0,-7972.413122251995,3748.826470117539,778.4780102802201,569.4122317178537,4526.246453155487,-4520.0,24.398134937450777
t15,-970.5453738399351,-1600.0,-3305.0198459217745,-540.481603680736,3600.0,-7967.434746375091,3751.201551728683,753.0445704570526,532.8635770334031,4477.482583609753,-4520.0,-83.03524843835112
t16,-953.485818508345,-1600.0,-3205.3670204543214,-542.8816036807361,3600.0,-7891.451819196989,3709.6363062834835,972.266247610649,733.9805475465309,4654.394847482413,-4520.0,21.564751561649246
t17,-959.340035936802,-1600.0,-2667.243989038258,-388.75478260869556,3600.0,-7253.25613874657,3657.035741358409,1486.5498826724038,1214.1539156818517,5080.6579486913,-4520.0,250.86475156164943
t18,-685.981671322682,-1408.7997417232275,-2002.436360066276,-268.7433963192639,-3600.0,669.0571659940738,-3581.026392638528,2077.2572108007794,1774.1572108007795,5371.692459239131,-4303.935248438351,300.0
t19,-884.1817073059286,-1600.0,-1955.7118677117287,-315.767884300707,3600.0,-6500.442829632822,3635.773607361472,2131.2572108007807,1818.7572108007807,5400.192459239131,-4293.53524843835,300.0
t20,-912.3817073059288,-1600.0,-2210.0297919160184,-244.84339631926395,3600.0,-6673.642829632821,3667.873607361472,2016.15721080078,1712.55721080078,5344.692459239131,-4337.935248438351,300.0
t21,-949.4817073059289,-1600.0,-2379.5347919160204,-380.038396319264,3600.0,-6939.342829632824,3715.573607361472,1832.8572108007797,1539.2572108007798,5257.192459239131,-4405.83524843835,300.0
t22,-992.1124225861445,-1600.0,-2811.6327403217006,-379.5199999999999,-3600.0,-132.52238171924,-3445.1896,1531.3572108007802,1258.8572108007802,5117.45721080078,-4520.0,293.06475156165016
t23,-915.5034518640739,-1600.0,-3229.7,-520.2,3600.0,-7838.0199999999995,3838.6103999999996,1032.8572108007797,792.4572108007796,4696.1572108007795,-4520.0,110.76475156164906
t24,-1063.3238357464497,-1600.0,-3144.2999999999997,-541.2,3600.0,-7740.5199999999995,3765.4603999999995,861.4924592391303,648.5924592391302,4596.09245923913,-4520.0,300.0
t25,-1093.9238357464499,-1600.0,-3097.1,-509.6,3600.0,-7635.620000000001,3947.5103999999997,1171.7037813402517,977.5037813402516,4335.292459239131,-3894.2886778988795,300.0
t26,-1089.6948293988205,-1600.0,-3136.549579141573,-550.8957914157302,3600.0,-7895.015370557302,3362.2188171685393,361.6924592391304,162.8924592391304,4167.59245923913,-4520.0,300.0
t27,-1079.849309205824,-1600.0,-3116.0381603680735,-556.5816036807361,3600.0,-8021.8497640488085,3788.4971926385274,242.89245923913097,58.29245923913095,4074.1924592391306,-4520.0,300.0
t28,-1106.449309205824,-1600.0,-3065.7381603680733,-526.6816036807361,3600.0,-7794.8897640488085,3569.787192638528,195.39245923913114,20.09245923913113,4040.292459239131,-4520.0,300.0
t29,-1107.949309205824,-1600.0,-3113.1381603680734,-531.6816036807361,3600.0,-7688.739764048809,3883.947192638527,640.4524592391303,447.75245923913036,4102.992459239131,-4162.34,300.0
t30,-1009.507374535068,-1600.0,-3226.0381603680735,-551.8816036807361,3600.0,-7887.03976404881,3792.7471926385274,599.9924592391303,381.9924592391303,4358.59245923913,-4520.0,300.0
t31,-966.4817073059289,-1600.0,-3054.1405011493066,-568.0347826086958,3600.0,-7828.047599110545,3686.1408347826086,1006.5572108007798,749.8572108007797,4653.25721080078,-4520.0,82.06475156164925
