Resource,CombinedCycle_NaturalGas_A_New,CombinedCycle_NaturalGas_A_Existing,CombustionTurbine_NaturalGas_A_New,CombustionTurbine_NaturalGas_A_Existing,SteamTurbine_NaturalGas_A_New,SteamTurbine_NaturalGas_A_Existing,CombinedCycle_NaturalGas_B_New,CombinedCycle_NaturalGas_B_Existing,SteamTurbine_NaturalGas_B_New,SteamTurbine_NaturalGas_B_Existing,CombinedCycle_NaturalGas_C_New,CombinedCycle_NaturalGas_C_Existing,SteamTurbine_FuelOil6_C_New,SteamTurbine_FuelOil6_C_Existing,SteamTurbine_NaturalGas_C_New,SteamTurbine_NaturalGas_C_Existing,CombinedCycle_NaturalGas_D_New,CombinedCycle_NaturalGas_D_Existing,CombinedCycle_NaturalGas_E_New,CombinedCycle_NaturalGas_E_Existing,CombinedCycle_NaturalGas_F_New,CombinedCycle_NaturalGas_F_Existing,CombinedCycle_NaturalGas_G_New,CombinedCycle_NaturalGas_G_Existing,CombustionTurbine_NaturalGas_G_New,CombustionTurbine_NaturalGas_G_Existing,SteamTurbine_NaturalGas_G_New,SteamTurbine_NaturalGas_G_Existing,CombinedCycle_NaturalGas_J_New,CombinedCycle_NaturalGas_J_Existing,CombustionTurbine_NaturalGas_J_New,CombustionTurbine_NaturalGas_J_Existing,SteamTurbine_NaturalGas_J_New,SteamTurbine_NaturalGas_J_Existing,CombinedCycle_NaturalGas_K_New,CombinedCycle_NaturalGas_K_Existing,CombustionTurbine_FuelOil2_K_New,CombustionTurbine_FuelOil2_K_Existing,CombustionTurbine_NaturalGas_K_New,CombustionTurbine_NaturalGas_K_Existing,SteamTurbine_NaturalGas_K_New,SteamTurbine_NaturalGas_K_Existing,Nuclear_A_New,Nuclear_B_New,Nuclear_B_Existing,Nuclear_C_New,Nuclear_C_Existing,Nuclear_D_New,Nuclear_E_New,Nuclear_F_New,Nuclear_G_New,Nuclear_H_New,Nuclear_I_New,Nuclear_J_New,Nuclear_K_New,Total
t19,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,173.09929860987953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7751.459222512244
t20,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,286.00533608040877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7864.365259982773
t21,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,286.00533608040877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7864.365259982773
t22,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,286.0053360804087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7864.365259982773
t23,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,286.0053360804087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7864.365259982773
t24,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,275.3829530823522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7853.7428769847165
t25,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,112.90603747052924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7691.265961372894
t26,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7578.359923902364
t27,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7578.359923902364
t28,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7578.359923902364
t29,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7578.359923902364
t30,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7578.359923902364
t31,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,3415.7561580595575,0.0,188.3200651025777,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11182.436147064498
t32,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,3415.7561580595575,0.0,766.3959391436864,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11760.512021105607
t33,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,3415.7561580595575,0.0,766.3959391436863,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11760.512021105607
t34,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,3415.7561580595575,0.0,833.5553586850592,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11827.67144064698
t35,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,3415.7561580595575,0.0,1661.8539078613649,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12655.969989823285
t36,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,3415.7561580595575,0.0,1661.8539078613649,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12655.969989823285
t37,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,3415.7561580595575,0.0,1809.2957983818746,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12803.411880343796
t38,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,3648.0,0.0,1809.2957983818746,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13035.655722284238
t39,0.0,440.4,0.0,11.147364996609461,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,3648.0,0.0,1946.9,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,806.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13184.407288898974
