Time_Index,Combined_Cycle_Natural_Gas_A,Combined_Cycle_Natural_Gas_B,Combined_Cycle_Natural_Gas_C,Combined_Cycle_Natural_Gas_D,Combined_Cycle_Natural_Gas_E,Combined_Cycle_Natural_Gas_F,Combined_Cycle_Natural_Gas_G,Combined_Cycle_Natural_Gas_J,Combined_Cycle_Natural_Gas_K,Combustion_Turbine_Fuel_Oil_2_K,Combustion_Turbine_Natural_Gas_A,Combustion_Turbine_Natural_Gas_J,Combustion_Turbine_Natural_Gas_K,Jet_Engine_Fuel_Oil_2_K,Jet_Engine_Kerosene_J,Jet_Engine_Kerosene_K,Jet_Engine_Natural_Gas_G,Jet_Engine_Natural_Gas_K,Steam_Turbine_Coal_A,Steam_Turbine_Coal_C,Steam_Turbine_Fuel_Oil_2_J,Steam_Turbine_Fuel_Oil_6_C,Steam_Turbine_Fuel_Oil_6_G,Steam_Turbine_Fuel_Oil_6_J,Steam_Turbine_Fuel_Oil_6_K,Steam_Turbine_Natural_Gas_C,Steam_Turbine_Natural_Gas_G,Steam_Turbine_Natural_Gas_J,Steam_Turbine_Natural_Gas_K
34,0.200475705062861,0.0,0.18693294875773564,0.0,0.0,0.1276632600034644,0.7714285714285715,0.6607997056298296,0.5131189166314007,0.0,0.7610993657505286,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06630292147247738,0.14916839916839916
35,0.200475705062861,0.0,0.18693294875773564,0.0,0.0,0.13251342456261908,0.7714285714285715,0.5838341714706243,0.5184088023698687,0.0,0.7610993657505286,0.0,0.05473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06630292147247738,0.12837837837837837
36,0.19594518065466077,0.0,0.15955019259205172,0.0,0.0,0.09821583232288239,0.7714285714285715,0.5586900527413222,0.5131189166314007,0.0,0.7610993657505286,0.0,0.05473684210526316,0.0,0.0,0.0,0.0,0.5785123966942148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06630292147247738,0.12525987525987525
37,0.2129346471854117,0.0,0.16247101991639132,0.0,0.0,0.10064091460245973,0.7688311688311689,0.554703790015945,0.5110029623360135,0.0,0.8456659619450317,0.0,0.05473684210526316,0.0,0.035842293906810034,0.0,0.0,0.9421487603305785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06630292147247738,0.12474012474012475
38,0.2129346471854117,0.0,0.18054363898574272,0.0,0.0,0.11190022518621168,0.7688311688311689,0.5678891205691157,0.5110029623360135,0.0,0.8456659619450317,0.0,0.05473684210526316,0.0,0.0,0.0,0.0,0.9421487603305785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06630292147247738,0.12525987525987525
39,0.218597802695662,0.0,0.20865660198251157,0.0,0.0,0.11397886714013511,0.7688311688311689,0.6678523242978045,0.5110029623360135,0.0,0.8456659619450317,0.0,0.05473684210526316,0.0,0.035842293906810034,0.0,0.0,0.9421487603305785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06630292147247738,0.1262993762993763
40,0.21746517159361195,0.0,0.20354515416491722,0.0,0.0,0.11744327039667417,0.7844155844155845,0.7503372991536859,0.5194667795175624,0.0,0.8456659619450317,0.0,0.05473684210526316,0.0,0.0,0.0,0.0,0.9421487603305785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06630292147247738,0.12837837837837837
41,0.2151999093895118,0.0,0.20792639515142666,0.0,0.0,0.16040187077775853,0.8181818181818182,0.7546301974733227,0.5681337283114685,0.0,0.8456659619450317,0.06808510638297872,0.10526315789473684,0.0,0.0,0.0,0.0,0.9421487603305785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06699357690448235,0.1632016632016632
42,0.22539358930796238,0.0,0.21614122200113184,0.0,0.0,0.15884288931231597,0.43116883116883115,0.7954127315098737,0.5998730427422767,0.0,0.8456659619450317,0.3659574468085106,0.17543859649122806,0.0,0.0,0.0,0.0,0.9421487603305785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06975619863250224,0.24844074844074845
43,0.22539358930796238,0.0,0.21814929078661532,0.0,0.0,0.16074831110341245,0.42597402597402595,0.7448178584570098,0.5861193398222598,0.0,0.8456659619450317,0.32340425531914896,0.15859649122807018,0.0,0.0,0.0,0.0,0.9421487603305785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06837488776849229,0.26195426195426197
