localdatetime,datetime_issue,CENTRAL,GENESE,MHKVL,NORTH,WEST
2019-01-04T08:00:00.0,2019-01-03T00:00:00.0,116.9213981,0.274525494,261.8152358,458.6136044,273.8577871
2019-01-04T09:00:00.0,2019-01-03T00:00:00.0,122.2063327,0.287207849,257.5984025,441.1504773,275.057127
2019-01-04T10:00:00.0,2019-01-03T00:00:00.0,122.8743851,0.29900589,238.005164,399.4528831,266.3762729
2019-01-04T11:00:00.0,2019-01-03T00:00:00.0,105.1619851,0.246658829,214.794473,408.2936821,234.0519221
2019-01-04T12:00:00.0,2019-01-03T00:00:00.0,92.83233275,0.231927454,238.6803669,451.4562043,211.1472178
2019-01-04T13:00:00.0,2019-01-03T00:00:00.0,74.57554553,0.191701966,252.3430829,430.3606057,186.5071202
2019-01-04T14:00:00.0,2019-01-03T00:00:00.0,59.91748592,0.117096081,215.3544603,432.183917,155.8534413
2019-01-04T15:00:00.0,2019-01-03T00:00:00.0,44.68725162,0.065611767,157.7904754,408.5518592,116.2755926
2019-01-04T16:00:00.0,2019-01-03T00:00:00.0,27.63826233,0.030152942,95.70414133,309.0350109,71.76375329
2019-01-04T17:00:00.0,2019-01-03T00:00:00.0,30.9388918,0.030778432,108.1417294,280.7222889,70.41146557
2019-01-04T18:00:00.0,2019-01-03T00:00:00.0,42.87747161,0.031490196,145.8694403,271.4428848,83.32977954
2019-01-04T19:00:00.0,2019-01-03T00:00:00.0,49.39186494,0.035437255,156.5617806,267.6470404,96.89769854
2019-01-04T20:00:00.0,2019-01-03T00:00:00.0,43.78967624,0.025300001,135.6203117,269.9080359,93.66811912
2019-01-04T21:00:00.0,2019-01-03T00:00:00.0,33.76345474,0.011992157,106.5832327,250.0546059,69.74295825
2019-01-04T22:00:00.0,2019-01-03T00:00:00.0,23.52632934,0.008756863,84.63737262,212.9615589,45.2489252
2019-01-04T23:00:00.0,2019-01-03T00:00:00.0,19.46139558,0.011409804,82.99212576,175.761079,35.01492858
2019-01-05T00:00:00.0,2019-01-03T00:00:00.0,19.51857047,0.01052549,92.36331493,154.5578602,31.58375107
2019-01-05T01:00:00.0,2019-01-03T00:00:00.0,17.00140376,0.012207843,110.2579544,147.3344553,23.71021982
2019-01-05T02:00:00.0,2019-01-04T00:00:00.0,11.2002467,0.004270588,77.36150422,166.8994543,7.503208977
2019-01-05T03:00:00.0,2019-01-04T00:00:00.0,4.63316192,0.002070588,68.73900701,131.6409245,3.962948619
2019-01-05T04:00:00.0,2019-01-04T00:00:00.0,0.395193198,8.62745E-05,67.39628993,111.1039321,0.240440673
2019-01-05T05:00:00.0,2019-01-04T00:00:00.0,0.489655414,2.15686E-05,63.32003022,97.91852075,1.788945551
2019-01-05T06:00:00.0,2019-01-04T00:00:00.0,2.034369678,6.47059E-05,35.28094122,76.69071938,5.560596257
2019-01-05T07:00:00.0,2019-01-04T00:00:00.0,3.921449927,0.001509804,5.06324836,41.53902662,8.031002348
2019-01-05T08:00:00.0,2019-01-04T00:00:00.0,5.616025052,0.000776471,0.911373489,14.4208911,10.82526436
2019-01-05T09:00:00.0,2019-01-04T00:00:00.0,7.076666208,0.002005882,2.247188579,4.271780677,13.42773656
2019-01-05T10:00:00.0,2019-01-04T00:00:00.0,7.819842084,0.002609804,4.257246566,1.252092152,9.006372575
2019-01-05T11:00:00.0,2019-01-04T00:00:00.0,3.438103918,0.000409804,2.431856997,0.304801734,0.728913222
2019-01-05T12:00:00.0,2019-01-04T00:00:00.0,1.304892482,0.000129412,0.697653725,0.122154058,0.395497794
2019-01-05T13:00:00.0,2019-01-04T00:00:00.0,2.1748873,0.000776471,0.334228467,0.025019763,2.097743387
2019-01-05T14:00:00.0,2019-01-04T00:00:00.0,7.145361723,0.004292157,1.294112621,0.092750369,5.496499661
2019-01-05T15:00:00.0,2019-01-04T00:00:00.0,11.2552767,0.013156863,5.259585724,0.61409431,14.36122759
2019-01-05T16:00:00.0,2019-01-04T00:00:00.0,17.54705875,0.030756863,16.92469059,2.31652349,31.15469008
2019-01-05T17:00:00.0,2019-01-04T00:00:00.0,29.79327427,0.052907844,65.00955767,14.11463491,63.82075162
2019-01-05T18:00:00.0,2019-01-04T00:00:00.0,58.68018089,0.08927255,127.9069044,29.10607644,119.6489352
2019-01-05T19:00:00.0,2019-01-04T00:00:00.0,72.49849585,0.093564708,117.0478032,35.79496107,158.1157785
2019-01-05T20:00:00.0,2019-01-04T00:00:00.0,79.41652341,0.103550982,84.40928282,48.94643781,194.5095062
2019-01-05T21:00:00.0,2019-01-04T00:00:00.0,98.71958161,0.140627452,70.79305544,63.89184336,235.2449982
2019-01-05T22:00:00.0,2019-01-04T00:00:00.0,120.3515228,0.174727453,79.11407454,79.83503077,262.1655515
2019-01-05T23:00:00.0,2019-01-04T00:00:00.0,133.7491403,0.228713728,93.02889713,97.37500455,273.1164381
2019-01-06T00:00:00.0,2019-01-04T00:00:00.0,137.0995111,0.291500006,99.30457501,116.4522716,269.341149
2019-01-06T01:00:00.0,2019-01-04T00:00:00.0,132.2757399,0.338217651,100.7858925,125.8373375,258.1322109
2019-01-06T02:00:00.0,2019-01-05T00:00:00.0,159.3003487,0.442049023,47.242332,72.1915392,287.4765159
2019-01-06T03:00:00.0,2019-01-05T00:00:00.0,149.201668,0.531882364,56.9443725,80.08335359,262.0345532
2019-01-06T04:00:00.0,2019-01-05T00:00:00.0,156.0042522,0.638927466,81.39022149,89.97885628,272.8470752
2019-01-06T05:00:00.0,2019-01-05T00:00:00.0,170.9345061,0.721319619,131.1436345,92.48645571,275.4857754
2019-01-06T06:00:00.0,2019-01-05T00:00:00.0,165.894983,0.728350996,195.611668,94.48432254,253.3629085
2019-01-06T07:00:00.0,2019-01-05T00:00:00.0,155.1156293,0.680360798,231.922748,102.2895183,233.6663507
2019-01-06T08:00:00.0,2019-01-05T00:00:00.0,150.2772375,0.623160797,263.3086254,127.8726452,210.0632239
2019-01-06T09:00:00.0,2019-01-05T00:00:00.0,138.2036274,0.551941187,297.7990084,179.070025,180.532279
2019-01-06T10:00:00.0,2019-01-05T00:00:00.0,128.3793604,0.543205888,325.0452035,232.5952883,183.7824184
2019-01-06T11:00:00.0,2019-01-05T00:00:00.0,164.3630701,0.581274518,313.9466121,264.4001247,231.3044698
2019-01-06T12:00:00.0,2019-01-05T00:00:00.0,171.5051157,0.585178439,281.8794254,326.3393841,222.3110736
2019-01-06T13:00:00.0,2019-01-05T00:00:00.0,167.9996001,0.606962753,294.9886367,395.6222211,213.1003491
2019-01-06T14:00:00.0,2019-01-05T00:00:00.0,164.5444773,0.622535305,347.414792,454.8839782,203.1853005
2019-01-06T15:00:00.0,2019-01-05T00:00:00.0,157.0898922,0.610262756,379.4385716,489.7897333,187.0331591
2019-01-06T16:00:00.0,2019-01-05T00:00:00.0,144.3948996,0.605086283,383.2193818,505.4200793,169.2166733
2019-01-06T17:00:00.0,2019-01-05T00:00:00.0,128.4454271,0.557527459,362.7130698,501.6128172,146.1738424
2019-01-06T18:00:00.0,2019-01-05T00:00:00.0,107.3166906,0.467370595,358.1123729,499.6479685,116.182062
2019-01-06T19:00:00.0,2019-01-05T00:00:00.0,101.5415415,0.412219615,350.0399142,476.0212556,103.9600188
2019-01-06T20:00:00.0,2019-01-05T00:00:00.0,90.60764381,0.353401968,328.2580385,419.6513274,90.46811948
2019-01-06T21:00:00.0,2019-01-05T00:00:00.0,72.96034886,0.300170593,301.3824082,349.028619,72.74127182
2019-01-06T22:00:00.0,2019-01-05T00:00:00.0,56.29410424,0.248729415,265.8562841,295.6397191,55.02625173
2019-01-06T23:00:00.0,2019-01-05T00:00:00.0,39.65448442,0.192370593,228.2040133,253.2774665,37.86951795
2019-01-07T00:00:00.0,2019-01-05T00:00:00.0,30.22157585,0.128247061,197.6427646,227.2384023,31.56389104
2019-01-07T01:00:00.0,2019-01-05T00:00:00.0,22.03673445,0.087417648,166.6952891,203.6973373,27.86767439
2019-01-07T02:00:00.0,2019-01-06T00:00:00.0,7.313211421,0.040656863,122.6133696,149.8154856,19.48657691
2019-01-07T03:00:00.0,2019-01-06T00:00:00.0,6.777324668,0.025235295,105.684091,136.7206938,22.139408
2019-01-07T04:00:00.0,2019-01-06T00:00:00.0,7.186314179,0.018354902,85.46295153,131.0678298,29.20347689
2019-01-07T05:00:00.0,2019-01-06T00:00:00.0,7.891367053,0.020835295,79.9976977,121.3164316,32.64246913
2019-01-07T06:00:00.0,2019-01-06T00:00:00.0,5.797004457,0.024178432,64.10788864,88.1988461,29.73613321
2019-01-07T07:00:00.0,2019-01-06T00:00:00.0,5.654381887,0.020986275,51.0943899,62.48601392,30.01090173
2019-01-07T08:00:00.0,2019-01-06T00:00:00.0,7.562634497,0.013631373,26.6141563,40.54035305,40.28075607
2019-01-07T09:00:00.0,2019-01-06T00:00:00.0,11.16624597,0.01807451,3.627907102,20.6062777,57.63838592
2019-01-07T10:00:00.0,2019-01-06T00:00:00.0,17.09147292,0.026615687,0.379680787,6.494899837,83.05871074
2019-01-07T11:00:00.0,2019-01-06T00:00:00.0,27.56631149,0.055237257,0.130974815,0.27717262,117.4524605
2019-01-07T12:00:00.0,2019-01-06T00:00:00.0,39.42006587,0.076331374,0.37046689,0.059084045,145.9165197
2019-01-07T13:00:00.0,2019-01-06T00:00:00.0,48.89433314,0.098482354,1.285840784,0.027912434,165.6783653
2019-01-07T14:00:00.0,2019-01-06T00:00:00.0,66.90782796,0.162907845,6.079215652,0.060968342,200.8789839
2019-01-07T15:00:00.0,2019-01-06T00:00:00.0,100.9448258,0.230029416,36.94386751,1.297003783,261.0636404
2019-01-07T16:00:00.0,2019-01-06T00:00:00.0,148.6806893,0.30856079,88.27510188,10.76574902,326.2640951
2019-01-07T17:00:00.0,2019-01-06T00:00:00.0,201.0305158,0.424837263,165.59867,35.81405229,363.6332493
2019-01-07T18:00:00.0,2019-01-06T00:00:00.0,248.9020896,0.580929422,289.2365434,100.261121,376.9513324
2019-01-07T19:00:00.0,2019-01-06T00:00:00.0,273.3904309,0.693647065,379.1853402,150.0924016,382.406067
2019-01-07T20:00:00.0,2019-01-06T00:00:00.0,285.4733314,0.749445107,429.5887216,206.1866467,385.0433578
2019-01-07T21:00:00.0,2019-01-06T00:00:00.0,289.0057657,0.757900006,458.7019495,291.0211267,385.0704221
2019-01-07T22:00:00.0,2019-01-06T00:00:00.0,287.3251032,0.785011775,472.3569126,371.1163682,383.5363152
2019-01-07T23:00:00.0,2019-01-06T00:00:00.0,287.753976,0.868503932,474.1096387,427.5634764,384.7865932
2019-01-08T00:00:00.0,2019-01-06T00:00:00.0,288.0019939,0.865786281,462.7202204,460.8212713,386.3611458
2019-01-08T01:00:00.0,2019-01-06T00:00:00.0,285.1699356,0.796162753,459.2780562,443.424552,385.720301
2019-01-08T02:00:00.0,2019-01-07T00:00:00.0,281.5122562,0.823145109,470.998878,522.8203784,385.0253289
2019-01-08T03:00:00.0,2019-01-07T00:00:00.0,272.0543457,0.844325505,464.023358,572.8460265,381.2671438
2019-01-08T04:00:00.0,2019-01-07T00:00:00.0,260.2506722,0.803366681,449.4440436,574.9003657,376.9227317
2019-01-08T05:00:00.0,2019-01-07T00:00:00.0,243.4435797,0.751752959,437.8916189,570.1380626,366.7975406
2019-01-08T06:00:00.0,2019-01-07T00:00:00.0,217.7574771,0.575839228,430.3891347,564.8614997,336.0882652
2019-01-08T07:00:00.0,2019-01-07T00:00:00.0,181.4057607,0.374064712,420.5326038,560.2172449,282.6744505
2019-01-08T08:00:00.0,2019-01-07T00:00:00.0,134.8579823,0.248125494,404.3579582,561.5672508,208.4252129
2019-01-08T09:00:00.0,2019-01-07T00:00:00.0,86.93479897,0.139786276,377.3611363,553.7554309,140.3952942
2019-01-08T10:00:00.0,2019-01-07T00:00:00.0,58.17736011,0.041498041,338.3136119,520.2076895,107.41863
2019-01-08T11:00:00.0,2019-01-07T00:00:00.0,47.39364607,0.009490197,286.6639898,452.7387089,98.35746021
2019-01-08T12:00:00.0,2019-01-07T00:00:00.0,45.52530508,0.008260785,217.3937728,378.6811188,98.67268236
2019-01-08T13:00:00.0,2019-01-07T00:00:00.0,50.6904394,0.007009804,159.2196419,278.0225499,107.5428285
2019-01-08T14:00:00.0,2019-01-07T00:00:00.0,53.41797714,0.009166667,117.0258287,183.3752099,109.6917882
2019-01-08T15:00:00.0,2019-01-07T00:00:00.0,53.43005822,0.023790197,83.88512776,96.25114172,99.73720603
2019-01-08T16:00:00.0,2019-01-07T00:00:00.0,58.16003415,0.052778432,81.92981023,50.79893105,115.5151628
2019-01-08T17:00:00.0,2019-01-07T00:00:00.0,70.54059119,0.087072552,128.547284,28.85890498,129.4763533
2019-01-08T18:00:00.0,2019-01-07T00:00:00.0,73.1843964,0.143172552,192.8337723,38.98455746,121.4914516
2019-01-08T19:00:00.0,2019-01-07T00:00:00.0,66.53369292,0.205376472,225.0770329,78.37193715,115.7391011
2019-01-08T20:00:00.0,2019-01-07T00:00:00.0,60.3929944,0.236521571,240.0843366,118.0885116,124.8163731
2019-01-08T21:00:00.0,2019-01-07T00:00:00.0,66.01897867,0.248362749,232.8149278,143.9333386,156.6766618
2019-01-08T22:00:00.0,2019-01-07T00:00:00.0,78.09759583,0.266480399,215.2059089,148.6080372,195.2790062
2019-01-08T23:00:00.0,2019-01-07T00:00:00.0,107.0157552,0.332350987,193.3595192,146.4799041,258.3814786
2019-01-09T00:00:00.0,2019-01-07T00:00:00.0,156.2190776,0.464501968,170.7323248,133.4586567,317.5339419
2019-01-09T01:00:00.0,2019-01-07T00:00:00.0,202.90167,0.609249031,156.3553526,112.9251267,352.7401876
2019-01-09T02:00:00.0,2019-01-08T00:00:00.0,226.8194575,0.66929609,76.70984442,51.06122596,346.7301812
2019-01-09T03:00:00.0,2019-01-08T00:00:00.0,223.5352086,0.756972561,102.3141291,24.8309941,339.8589354
2019-01-09T04:00:00.0,2019-01-08T00:00:00.0,209.2772529,0.809405895,171.6158403,9.232205325,335.4557943
2019-01-09T05:00:00.0,2019-01-08T00:00:00.0,196.2246523,0.826358836,289.3183712,6.169358137,320.6143797
2019-01-09T06:00:00.0,2019-01-08T00:00:00.0,178.546811,0.835245109,340.8594174,11.21844404,293.2325566
2019-01-09T07:00:00.0,2019-01-08T00:00:00.0,160.662864,0.836733348,361.3275169,36.66771605,272.0473732
2019-01-09T08:00:00.0,2019-01-08T00:00:00.0,152.3336112,0.834231381,373.6802611,94.21358448,268.0958171
2019-01-09T09:00:00.0,2019-01-08T00:00:00.0,152.3148674,0.825690217,387.185337,156.8272534,275.424601
2019-01-09T10:00:00.0,2019-01-08T00:00:00.0,176.2980304,0.817429424,422.9032521,202.2590189,297.1257626
2019-01-09T11:00:00.0,2019-01-08T00:00:00.0,211.4452493,0.876937271,438.7894883,278.6417727,326.6246733
2019-01-09T12:00:00.0,2019-01-08T00:00:00.0,228.5042139,0.887074527,448.047384,369.8761504,337.3825909
2019-01-09T13:00:00.0,2019-01-08T00:00:00.0,230.5986109,0.873809819,442.7007475,439.4512488,342.6453363
2019-01-09T14:00:00.0,2019-01-08T00:00:00.0,236.7464935,0.897190211,439.4115567,502.9441906,352.0040074
2019-01-09T15:00:00.0,2019-01-08T00:00:00.0,237.522917,0.898764714,425.0099285,525.1139724,361.2160059
