NYISO Name,PTID,Zone,Facility Name,Facility ID,Unit ID,Unit Type,Fuel Type, Operating Time, Gross Load (MWh), Heat Input (MMBtu), Facility Latitude, Facility Longitude, Max Hourly HI Rate (MMBtu/hr),Name Plate Rating (MW),2018 Net Energy (GWh),2019 CRIS Summer (MW),2019 CRIS Winter (MW),2019 Capability Summer (MW),2019 Capability Winter (MW),Combined
West Babylon 4,23714,K,West Babylon Facility,2521,UGT001,Combustion Turbine,Fuel Oil 2,90,3278,45062.2,40.6953,-73.3497,686,52.4,1.9,49,64,48.9,64.8,0
Shoreham GT3,24213,K,Shoreham Energy,55787,CT01,Combustion Turbine,Fuel Oil 2,61.2,2482.12,22358.033,40.9572,-72.8664,416,50,4.1,45.4,45.4,43.2,46.7,0
Shoreham GT4,24214,K,Shoreham Energy,55787,CT02,Combustion Turbine,Fuel Oil 2,59.91,2381.68,23127.634,40.9572,-72.8664,416,50,4,43.9,43.9,42.8,45.6,0
Barrett GT 01,23704,K,E F Barrett,2511,U00012,Combustion Turbine,Natural Gas,564,6537,105191.2,40.6169,-73.6486,480,18,3.9,18.1,23.6,18.4,20.1,0
Barrett GT 02,23705,K,E F Barrett,2511,U00013,Combustion Turbine,Natural Gas,564,6537,105191.2,40.6169,-73.6486,480,18,3.9,17.4,22.7,17,19.3,0
Barrett 03,23706,K,E F Barrett,2511,U00014,Combustion Turbine,Natural Gas,466,5708,91961.9,40.6169,-73.6486,520.7,18,6.5,17.9,23.4,16.1,19.9,0
Barrett 04,23707,K,E F Barrett,2511,U00015,Combustion Turbine,Natural Gas,466,5708,91961.9,40.6169,-73.6486,505,18,9.3,17.7,23.1,17.8,20.8,0
Barrett 05,23708,K,E F Barrett,2511,U00016,Combustion Turbine,Natural Gas,1044,11925,190133.5,40.6169,-73.6486,505,18,7,17.8,23.3,18.4,20.1,0
Barrett 06,23709,K,E F Barrett,2511,U00017,Combustion Turbine,Natural Gas,1044,11925,190133.5,40.6169,-73.6486,480,18,4.6,17.8,23.3,17,19.4,0
Barrett 08,23711,K,E F Barrett,2511,U00019,Combustion Turbine,Natural Gas,697,8798,138748.2,40.6169,-73.6486,475,18,4.6,17.3,22.6,17.6,20.2,0
Freeport CT 1,23764,K,Equus  Power I,56032,1,Combustion Turbine,Natural Gas,933.2,41818.15,416554.794,40.6447,-73.5683,475,60,36.7,48.3,51.3,45.7,46.4,0
Freeport CT 2,23818,K,Freeport Power Plant No. 2,2679,5,Combustion Turbine,Natural Gas,379.5,13872.75,140612,40.6447,-73.5683,486,60.5,43.3,50.3,50.3,47.1,50.7,0
Stony Brook   (BTM:NG),24151,K,Nissequogue Energy Center,54149,1,Combustion Turbine,Natural Gas,7972.95,300526.82,3318798.556,40.9168,-73.1292,455,47,83,9.6,9.6,0,0,0
Brentwood,24164,K,Brentwood,7912,BW01,Combustion Turbine,Natural Gas,1262.95,55602.77,541649.263,40.787,-73.2933,270,47,60.7,47.1,47.1,43.8,46.3,0
Port Jefferson GT 02,24210,K,Port Jefferson Energy Center,2517,UGT002,Combustion Turbine,Natural Gas,620.75,24021.25,244138.425,40.9503,-73.0786,487,53,23.9,44,52,41.9,46.6,0
Port Jefferson GT 03,24211,K,Port Jefferson Energy Center,2517,UGT003,Combustion Turbine,Natural Gas,632.75,24544.75,232429.4,40.9503,-73.0786,545,53,30.9,43.1,50.9,39.1,45.4,0
Pilgrim GT1,24216,K,Edgewood Energy,55786,CT01,Combustion Turbine,Natural Gas,809.97,33333.18,328953.191,40.7861,-73.2931,270,50,54.7,45.6,45.6,43,46.1,0
Pilgrim GT2,24217,K,Edgewood Energy,55786,CT02,Combustion Turbine,Natural Gas,711.83,29828.41,307624.49,40.7861,-73.2931,270,50,53.7,46.2,46.2,42.2,46.6,0
Glenwood GT 04,24219,K,Glenwood Landing Energy Center,7869,UGT012,Combustion Turbine,Natural Gas,1039.75,41861.25,409541.6,40.8275,-73.6478,500,53,35.7,42.3,50,42.6,46.6,0
Glenwood GT 05,24220,K,Glenwood Landing Energy Center,7869,UGT013,Combustion Turbine,Natural Gas,1088.75,43546.75,429373.05,40.8275,-73.6478,517,53,50.7,42,49.6,42.5,44.4,0
Bethpage GT4,323586,K,Bethpage Energy Center,50292,GT3,Combustion Turbine,Natural Gas,1053.65,47016.8,468317.796,40.7469,-73.4994,270,60,70.4,48.2,51.2,45,47.6,0
Holtsville 01,23690,K,Holtsville Facility,8007,U00001,Jet Engine,Fuel Oil 2,54,428,7474.1,40.8153,-73.0664,662,56.7,2,56.7,72.1,55.5,65.1,0
Holtsville 02,23691,K,Holtsville Facility,8007,U00002,Jet Engine,Fuel Oil 2,53,424,7405,40.8153,-73.0664,662,56.7,1.2,55.3,70.3,54.3,63.1,0
Holtsville 03,23692,K,Holtsville Facility,8007,U00003,Jet Engine,Fuel Oil 2,33,230,3968.8,40.8153,-73.0664,416,56.7,0.9,52.1,66.3,52.6,61.7,0
