Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_A,Demand_MW_B,Demand_MW_C,Demand_MW_D,Demand_MW_E,Demand_MW_F,Demand_MW_G,Demand_MW_H,Demand_MW_I,Demand_MW_J,Demand_MW_K
,,,,,,,67,2045.5,1352.5,2208.8,669.0,1128.6,1594.1,1306.8,390.9,794.5,6480.1,2804.6
,,,,,,,68,2016.1,1311.8,2169.8,656.9,1109.1,1558.8,1283.1,386.5,777.6,6321.7,2748.3
,,,,,,,69,1974.2,1271.0,2106.6,632.4,1079.7,1504.8,1244.2,375.3,752.1,6128.4,2661.5
,,,,,,,70,1919.4,1201.5,2010.0,635.3,1017.1,1415.3,1180.7,355.5,708.9,5876.9,2514.3
,,,,,,,71,1829.3,1117.5,1879.0,614.7,951.9,1306.2,1090.6,323.6,654.9,5548.9,2302.9
,,,,,,,72,1716.7,1038.0,1759.7,601.3,897.1,1211.9,1001.4,298.3,601.1,5157.4,2092.8
,,,,,,,73,1650.3,990.2,1709.9,589.2,850.5,1146.2,942.4,279.4,563.0,4821.1,1954.3
,,,,,,,74,1608.5,964.3,1663.3,583.3,815.1,1104.6,914.3,272.7,540.2,4619.5,1874.6
,,,,,,,75,1588.3,948.1,1639.3,584.3,795.9,1097.3,900.3,273.5,531.6,4497.8,1828.0
,,,,,,,76,1581.2,945.7,1644.6,581.7,789.6,1099.5,896.8,268.2,522.1,4452.5,1811.6
,,,,,,,77,1599.5,969.2,1688.1,583.9,815.1,1129.7,911.4,279.6,532.0,4496.4,1853.2
,,,,,,,78,1682.8,1036.9,1784.0,595.0,887.1,1209.0,973.6,298.5,561.4,4752.6,1968.3
,,,,,,,79,1826.1,1141.0,1976.0,606.5,1025.7,1366.0,1080.6,338.4,633.8,5252.8,2194.0
,,,,,,,80,1943.0,1213.1,2079.0,611.8,1092.7,1447.1,1142.3,362.2,698.9,5762.6,2345.4
,,,,,,,81,1932.5,1211.1,2070.1,633.7,1091.0,1421.7,1145.3,360.9,707.2,6049.5,2357.1
,,,,,,,82,1936.5,1208.0,2054.0,618.0,1083.1,1382.1,1131.5,354.1,705.9,6196.6,2302.7
,,,,,,,83,1926.9,1195.6,2042.3,596.7,1075.5,1357.5,1116.3,344.0,700.6,6244.5,2255.1
,,,,,,,84,1895.1,1167.0,2016.4,586.6,1054.5,1335.5,1100.0,330.8,698.2,6268.9,2246.8
,,,,,,,85,1851.4,1143.4,1960.0,582.2,1021.9,1300.5,1082.0,325.4,690.7,6264.9,2233.7
,,,,,,,86,1842.3,1133.3,1942.1,577.0,1009.8,1302.4,1092.8,326.3,692.5,6254.5,2268.3
,,,,,,,87,1812.2,1121.8,1924.2,572.2,997.2,1317.6,1097.5,326.1,694.7,6250.0,2328.0
,,,,,,,88,1792.2,1124.5,1935.0,578.6,981.6,1347.1,1119.4,334.4,705.1,6305.9,2386.9
,,,,,,,89,1824.1,1157.3,1986.7,590.4,1014.7,1426.8,1178.8,357.0,739.4,6405.6,2542.5
,,,,,,,90,1934.8,1240.9,2090.2,630.1,1063.9,1512.1,1244.7,381.1,766.8,6502.8,2710.4
,,,,,,,91,1939.7,1240.6,2083.6,637.1,1055.1,1498.8,1239.9,390.2,765.6,6334.7,2706.0
,,,,,,,92,1919.7,1208.0,2036.6,628.6,1034.8,1459.9,1213.0,373.1,744.2,6136.3,2624.7
,,,,,,,93,1912.3,1177.8,1992.4,621.2,1015.4,1420.0,1183.0,369.6,716.5,5932.6,2533.5
,,,,,,,94,1870.6,1130.1,1927.4,612.6,981.8,1359.8,1131.9,354.6,689.2,5713.5,2412.0
,,,,,,,95,1793.3,1061.4,1827.2,584.8,911.5,1276.2,1068.3,317.2,644.3,5439.4,2242.2
,,,,,,,96,1695.7,988.8,1734.5,587.5,850.1,1192.4,987.2,292.5,594.6,5092.5,2048.3
,,,,,,,97,1616.4,945.0,1670.9,570.0,798.4,1129.0,921.6,265.4,554.1,4773.6,1882.6
,,,,,,,98,1566.1,919.7,1632.6,557.9,751.9,1098.2,877.1,254.9,527.6,4561.1,1771.7
,,,,,,,99,1546.3,904.8,1609.8,577.2,739.5,1082.6,858.6,242.7,509.7,4422.9,1707.2
,,,,,,,100,1539.5,900.5,1607.3,577.1,735.9,1073.3,848.0,241.0,500.5,4344.2,1670.8
,,,,,,,101,1551.6,909.5,1614.4,583.8,747.3,1084.6,849.3,241.3,500.2,4327.1,1674.0
,,,,,,,102,1581.1,936.3,1646.6,588.4,776.9,1113.5,872.1,249.1,514.5,4390.8,1712.4
,,,,,,,103,1657.3,987.6,1723.6,571.6,813.1,1166.8,914.6,262.8,542.3,4556.0,1802.3
,,,,,,,104,1713.7,1037.2,1798.1,588.0,881.9,1227.4,966.2,280.9,575.2,4768.3,1903.5
,,,,,,,105,1743.3,1069.8,1870.7,589.0,924.5,1293.4,1029.7,299.0,609.6,5024.7,2018.5
,,,,,,,106,1780.5,1102.1,1905.7,605.4,952.9,1349.9,1081.6,319.7,642.7,5297.3,2166.7
,,,,,,,107,1796.6,1122.4,1908.8,596.2,952.2,1373.2,1117.9,330.3,668.9,5498.3,2259.5
