Resource,CEM,PF,DLAC-p,DLAC-i,SLAC,Case
NG CC,-1.1710783857293302e-12,19.811615393157787,-16.65762069400299,-8.364605477150672,-12.119368877874411,10_Hr_BESS
NG CT,1.6433587569082284e-13,22.1871690982723,-17.647302020530947,-12.446946840946877,-12.004696492499836,10_Hr_BESS
Wind,2.281054648274919e-13,2.3660118163963526,-5.704396202931116,-2.7415548458883188,-10.40612749679794,10_Hr_BESS
Solar,-1.5367302076579903e-13,3.758080320603465,-0.9426885135798948,4.075018279053601,1.7220137902992851,10_Hr_BESS
BESS,-7.107262917167285e-14,27.57825781280397,-10.307478899351578,1.6487027741255167,11.841716716920986,10_Hr_BESS
NG CC,2.7605168108395064e-13,6.201462515922658,4.539996912909416,-30.24729727074143,-29.37324007146809,10_Hr_BESS_Fuelx2
NG CT,-1.7083609786678192e-14,7.371418080804013,6.931882303335107,-39.77020802553275,-36.02715271061124,10_Hr_BESS_Fuelx2
Wind,2.428691764347618e-13,1.8160445336056703,0.03467812118865184,-2.8574391443815905,-6.6302043313006225,10_Hr_BESS_Fuelx2
Solar,-2.4455994729539076e-13,-0.3332128796568649,2.1502523142124703,3.614908603617745,-2.6022946205470037,10_Hr_BESS_Fuelx2
BESS,-7.5990234460493e-14,19.490579101082417,-2.1319147260056552,-13.38301070389035,-6.050893516890229,10_Hr_BESS_Fuelx2
