NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1
42804.63860666757,600.650096276115,4357.2269220563285,0.0
43172.040750316904,600.650096276115,4874.0943096569845,0.0
44504.53316589397,600.650096276115,5472.426112829916,0.0
45404.92783341011,2134.9063147351103,6177.16194560478,0.0
45973.7485403956,3840.8449613476714,7009.828373256729,0.0
45803.54776587943,3166.375523355631,7856.127492014923,0.0
43634.28083309459,1437.9693056657281,8750.125774866925,531.3701801227462
34937.65348718381,0.0,9944.964242260015,6124.464301806174
26580.688227435345,0.0,8459.605973909836,12940.283923654817
25727.093207951755,0.0,5814.761013500418,13826.602809797834
26455.77655530014,0.0,4910.314860865838,11798.381240084018
27111.113706095886,0.0,4657.179940177897,9756.612603726217
26130.45218574316,0.0,4342.2535181708945,10002.145858585945
26208.279660043652,0.0,3821.5983886724043,10514.20398253394
28906.266751907973,0.0,3908.5500180555387,8919.429323786491
36161.63488649776,0.0,4696.138115640443,4149.05902911179
38977.983924755375,0.0,7106.476573249081,407.0043457455334
36432.61580766993,0.0,10324.248213064542,0.1242605155363735
34034.881783352925,0.0,12394.278372897075,0.0
31864.421734112646,0.0,13069.168109637352,0.0
30088.543286900465,0.0,12751.19890059953,0.0
28947.304596995815,0.0,12290.02743425419,0.0
28938.23897199581,0.0,11392.53055925419,0.0
28935.56592512081,0.0,11127.89891862919,0.0
29141.181068776943,0.0,11065.818931223057,0.0
30497.446692907808,0.0,10459.44002584219,0.0
32688.090287054863,0.0,9937.726119195138,0.0
35943.33093814556,0.0,9600.719843104433,0.0
39445.38753348937,0.0,9069.811685260634,0.0
40277.68864476426,0.0,8596.436355235748,0.0
39114.469598666925,0.0,8348.472184136483,126.9996234465913
33830.40276851215,0.0,7729.934046369092,4274.432716368752
28615.05590411751,0.0,4739.78148790114,10499.455576731347
27929.105222606486,0.0,2474.828141362711,11274.176011030806
26371.05539890588,0.0,1560.920402001768,11790.90310534236
26034.96416589105,0.0,1115.827843103434,11156.508772255514
24522.498710937583,0.0,977.2603377057733,11684.908920106645
24865.98139311001,0.0,892.6305669589708,10791.184914931007
24520.13488281258,0.0,942.216992146386,11485.933281291036
28881.736304499544,0.0,1169.7115364079552,9392.059971592502
37156.90091902115,0.0,1979.93357186173,1849.3530091171203
38016.13335363845,0.0,3229.004080639451,0.7766282221023345
36267.67350196359,0.0,5071.41634178642,0.0
33895.03667820234,0.0,6994.6273842976625,0.0
30848.988370285333,0.0,8857.179598464667,0.0
28668.54861650633,0.0,9786.002164743668,0.0
27606.49743143937,0.0,10032.287724810632,0.0
27603.943837689367,0.0,9779.481943560637,0.0
27605.636298626865,0.0,9947.035576373135,0.0
29205.797914083363,0.0,8937.518492166646,0.0
31217.452936038586,0.0,7900.308782711417,0.0
33744.342740228036,0.0,6856.840853521967,0.0
36220.98524302371,0.0,6116.057725726293,0.0
37793.93281006004,0.0,5664.024221189955,0.0
37321.65795965828,0.0,5347.505550047389,538.1568027943238
31036.784424515776,0.0,5439.909273674569,5544.646145559657
