Resource,Battery_A_Existing,Battery_A_New,Battery_C_Existing,Battery_C_New,Battery_D_Existing,Battery_D_New,Battery_F_Existing,Battery_F_New,Battery_G_Existing,Battery_G_New,Total
t190,0.0,0.0,0.0009444235916823607,0.0,0.009444235916826433,0.0,0.0,0.0,0.0014166353875237764,0.0,0.01180529489603257
t191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t198,40.0,26.54742721170969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.54742721170969
t199,40.0,36.47698934244503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.47698934244502
t200,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
t201,0.0,152.6877275461964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.6877275461964
t202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t207,40.0,30.878039141516023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.87803914151603
t208,0.0,107.8841747851096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.8841747851096
t209,7.3098839621940135,47.424366679808095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.73425064200211
t210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t217,0.0,60.21308937886473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.21308937886473
t218,14.031454741802879,294.0468142268401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.078268968643
t219,40.0,294.0468142268401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0468142268401
t220,40.0,294.0468142268401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0468142268401
t221,40.0,294.0468142268401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0468142268401
t222,40.0,294.0468142268401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0468142268401
