Line,1,2,3,4,5,6,7,8,9,10,11,12
t17,1296.1511084693475,322.56430653162136,698.4251654320841,1700.6909934391565,3600.0,-866.2959433547563,3507.2221753849863,1580.9840049613426,1254.5840049613425,2108.092954983076,-1507.3089500217338,300.0
t18,1802.9482846197366,760.4000610819032,1011.6588843693382,1753.334687045939,-3600.0,6614.944200464142,-3673.348866308065,1859.8178520291092,1503.0178520291092,2349.6929549830766,-1553.0751029539676,300.0
t19,1624.699979892068,562.4784804857482,699.0297722520302,1709.844488882673,-3600.0,6269.612846218304,-3594.443316368621,1658.782053602051,1292.582053602051,2378.1929549830766,-1797.7109013810255,300.0
t20,1775.4960056746982,766.3683171389572,676.1216571515324,1657.4588251074056,3600.0,-1085.1980336011397,3656.821051142926,1581.2355412941538,1223.9355412941538,2322.6929549830766,-1804.5574136889231,300.0
t21,1794.215639180707,821.6723010179388,717.4001371886578,1605.433285173886,3600.0,-1155.4303961215837,3693.240274538073,1691.8583604521782,1344.5583604521782,2235.1929549830766,-1578.5345945308986,300.0
t22,1780.4755936581562,863.8383774012375,831.8842542724565,1534.6045879914032,3600.0,-1186.9858401977249,3753.740320753934,1657.8214148263637,1331.6214148263637,2102.3929549830764,-1432.1715401567126,300.0
t23,1398.7213689296082,519.2761689817818,521.2812302600204,1497.3057640350598,-3600.0,5656.610451398563,-3362.459679246059,1473.4632959048718,1179.3632959048718,1863.3929549830764,-1300.3296590782047,300.0
t24,1839.3117740743432,1049.5125011803693,1126.5026711872579,1435.5434029851563,3600.0,-1218.4397236117857,3197.637556427484,1162.2456116261474,895.6456116261473,1574.0929549830762,-1250.9473433569287,300.0
t25,804.0211791019055,12.791623815414255,64.63207652648634,1394.813086186648,3600.0,-2199.0720216756804,3967.8256014136264,905.2035797379467,657.3035797379467,1313.292954983077,-1192.4893752451303,300.0
t26,487.36945120259065,-255.25078277395437,-163.70907313240468,1359.4459727928029,3600.0,-2460.6795803655523,3968.140320753934,720.0607403883816,467.56074038838165,1145.5929549830762,-1193.3322145946945,300.0
t27,389.44776748611764,-344.10659295640596,-219.81347065465582,1360.8221560464385,3600.0,-2594.4301577269734,3989.3256014136264,607.1954436866527,368.89544368665264,1052.1929549830766,-1187.397511296424,300.0
t28,1064.1508823757601,311.4020762721143,455.632813996418,770.4745490751304,-3600.0,4762.7142732588745,-3387.209679246066,571.5045940128098,342.5045940128098,1018.2929549830769,-1175.588360970267,300.0
t29,917.8380253425087,102.89687246146968,232.92522239640834,1291.3701996859509,3600.0,-2148.1600472830632,3612.112783543307,645.2527362602439,398.8527362602439,1080.9929549830767,-1189.240218722833,300.0
t30,952.1613073765025,93.79132294784267,96.85830296767426,1240.8097252819684,3600.0,-2430.527108617898,4360.711469143701,1049.7843605258024,778.0843605258024,1336.5929549830762,-1101.9085944572737,300.0
t31,1456.4737493455425,500.1290423276504,273.44223517113005,1184.3195004717618,3600.0,-2452.018213607865,4600.0,1940.241786392135,1629.841786392135,1849.1929549830766,-835.9511685909415,300.0
t32,1633.004501043267,592.8603536938995,198.0286242583977,1135.2021975672362,2475.9987811796777,-1556.6642621002457,4600.0,2766.6476224753824,2434.6476224753824,2372.3929549830764,-620.0453325076942,300.0
t33,1506.2987751102005,447.5553171655306,15.290234000024611,549.8927276125087,1945.0189450612436,-1809.822225191892,4600.0,3185.604659383736,2847.704659383736,2689.4929549830767,-534.8882955993408,300.0
t34,1610.9229808718417,542.2627328528679,102.99316764873993,1088.7259395722563,1342.5397596985463,-597.917918171278,4600.0,3728.09396640435,3385.09396640435,2879.4929549830767,-195.09898857872668,300.0
t35,1598.8027339691478,545.7232580365437,100.07338670268246,1083.7265800215068,1218.2644500740694,-476.0264249256428,4600.0,4547.900459649985,4217.100459649985,2931.292954983077,585.707504666908,300.0
t36,1479.2221179984383,407.9387207783436,-74.85104056013074,1086.6353896655419,-3600.0,4006.597076766432,6.945750684809354,4827.976955247106,4500.276955247106,2941.9929549830767,865.9840002640296,300.0
t37,1613.307396105286,584.1273973681837,181.02355806273044,1092.4475637466644,-3600.0,4468.12811957795,-281.222877411642,5054.589369962173,4729.889369962173,2940.1929549830766,1104.5964149790968,300.0
t38,1600.1198981883674,556.9589898920526,147.7302884470198,1095.2658902611342,-3600.0,4427.167935234871,-80.22216023143687,5200.929902799298,4877.829902799298,2958.292954983077,1229.1369478162217,300.0
t39,1652.4997171692917,597.5627207404126,189.54845958068393,1106.0522267319525,994.940977811626,-108.72653505457765,4600.0,5324.157592741287,4999.157592741287,2961.8929549830764,1336.86463775821,300.0
t40,1782.8704443994511,717.9989089945324,286.7766713928346,1098.5632315591545,1053.5807342321614,-70.2841277958646,4600.0,5334.0,5000.0,2258.1353622417905,2029.6646377582097,-300.0
t41,2036.3399119305245,912.0190855512793,445.5133370647824,1183.2519760186583,1181.9126395202265,29.715872204135394,4600.0,5354.9,5000.0,2038.9823160459619,2211.017683954038,-300.0
t42,2234.5369628070375,1048.65993824337,582.3669438472001,1232.7299943532234,1290.741045590291,160.9158722041352,4600.0,5389.8,5000.0,1884.6851687300186,2317.8148312699814,-300.0
t43,2070.717912365709,899.9650400231415,501.2474615187534,1240.3636242314992,1292.3410455902913,175.4158722041352,4600.0,5398.7,5000.0,2592.909074763333,1602.890925236667,300.0
t44,1705.608321152676,575.7211973455574,329.46049071670336,1277.5908379320235,1259.1410455902906,147.9158722041352,4600.0,5395.9,5000.0,2345.311910329464,1864.7880896705365,-300.0
t45,1494.1144364414326,409.18359370201597,526.9129005387545,1317.4674941740718,1610.7714732710422,193.04254229547576,4600.0,4800.711670091341,4423.211670091341,2855.292954983077,806.1187151082635,300.0
t46,1752.8943257581523,734.895072199247,1090.3790629607347,1356.4661042411021,2805.78962971421,-244.90367964156684,4600.0,3714.721037839421,3364.0210378394213,2606.1929549830766,36.92808285634442,300.0
t47,1930.2272307293324,964.6166053971505,1410.13538651828,1395.1015405644498,3600.0,-571.9129097682594,4081.813567807012,2793.744272768834,2484.344272768834,2226.8929549830764,-399.0486822142425,300.0
t48,1280.2558849433908,402.00547692035127,975.3392676320103,1437.2670953617394,-3600.0,6244.85434491279,-3408.8,2070.144272768834,1789.5442727688342,1820.8929549830764,-634.1486822142424,300.0
t49,934.766650722504,139.57347832326514,769.8673010612334,886.992106428156,3600.0,-1645.145655087209,3847.9,1502.4442727688343,1223.3442727688343,1470.792954983077,-798.5486822142425,300.0
t50,172.12003047373676,-629.053019945409,27.16096382682977,1428.4464300040058,3600.0,-1829.6489254466667,3875.7,1367.6410024093761,1096.6410024093761,1250.3929549830764,-679.6519525737002,300.0
t51,1044.957266632158,291.6113790239624,947.2408961876712,1418.1988147855113,3600.0,-926.3611098962593,3288.3,1711.828817959784,1450.1288179597839,1118.5929549830762,-186.9641370232922,300.0
t52,512.0709043389741,-271.9176669872194,458.6687207299228,1324.7560127384404,3600.0,-1574.097564652695,3873.4,1785.046050077386,1544.546050077386,1063.792954983077,-27.946904905690985,300.0
t53,542.7093347601482,-235.49283179336373,530.6703384404645,1278.5914475464133,-3600.0,5579.220782815289,-3333.2,1587.9107106713327,1333.8107106713328,1092.4929549830767,-274.982244311744,300.0
t54,865.2846893129158,22.65465988437188,742.8933136843899,1239.639265684093,3600.0,-1515.9692057162338,3956.606952971729,1727.9276751115385,1451.9276751115385,1325.4929549830767,-426.0652798715381,300.0
t55,2143.396678921027,1192.0704199497586,1748.9117956081348,1186.423413251347,3600.0,-532.1321264424495,3512.0383461999113,2371.4125591385846,2061.5125591385845,1826.4929549830767,-386.18039584449207,300.0
t56,1932.5085127278132,895.5677988162736,1304.2352063162648,1251.895063431667,3600.0,-880.8014714868082,4600.0,3146.9693390037037,2818.769339003704,2348.3929549830764,-211.82361597937256,300.0
