Zone,1,2,3,4,5,6,7,8,9,10,11
t122,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t123,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t124,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t126,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t127,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t128,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t129,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t130,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t131,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t132,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t133,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t134,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t135,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t136,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t137,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t138,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t139,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t140,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t141,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t142,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t143,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t144,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t145,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t146,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t147,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t148,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t149,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t150,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t151,-0.0,-0.0,46.52410112179059,46.52410112179059,46.52410112179059,46.52410112179059,46.52410112179059,46.52410112179059,46.52410112179059,46.52410112179059,-0.0
t152,-0.0,-0.0,46.54271820907422,46.54271820907422,46.54271820907422,46.54271820907422,46.54271820907422,46.54271820907422,46.54271820907422,46.54271820907422,-0.0
t153,-0.0,-0.0,46.56134274617269,46.56134274617269,46.56134274617269,46.56134274617269,46.56134274617269,46.56134274617269,46.56134274617269,46.56134274617269,-0.0
t154,-0.0,-0.0,46.579974736067115,46.579974736067115,46.579974736067115,46.579974736067115,46.579974736067115,46.579974736067115,46.579974736067115,46.579974736067115,-0.0
t155,-0.0,-0.0,46.598614181739805,46.598614181739805,46.598614181739805,46.598614181739805,46.598614181739805,46.598614181739805,46.598614181739805,46.598614181739805,-0.0
t156,-0.0,-0.0,46.61726108617427,46.61726108617427,46.61726108617427,46.61726108617427,46.61726108617427,46.61726108617427,46.61726108617427,46.61726108617427,-0.0
t157,-0.0,-0.0,46.635915452355206,46.635915452355206,46.635915452355206,46.635915452355206,46.635915452355206,46.635915452355206,46.635915452355206,46.635915452355206,-0.0
t158,-0.0,-0.0,46.654577283268516,46.654577283268516,46.654577283268516,46.654577283268516,46.654577283268516,46.654577283268516,46.654577283268516,46.654577283268516,-0.0
t159,-0.0,-0.0,46.67324658190128,46.67324658190128,46.67324658190128,46.67324658190128,46.67324658190128,46.67324658190128,46.67324658190128,46.67324658190128,-0.0
t160,-0.0,-0.0,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,-0.0
t161,-0.0,-0.0,46.71060759427948,46.71060759427948,46.71060759427948,46.71060759427948,46.71060759427948,46.71060759427948,46.71060759427948,46.71060759427948,46.71060759427948
t162,-0.0,-0.0,46.72929931400508,46.72929931400508,46.72929931400508,46.72929931400508,46.72929931400508,46.72929931400508,46.72929931400508,46.72929931400508,46.72929931400508
