region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
G,CombinedCycle_NaturalGas_G_Existing,7,1,28,0.0,0.0,0.0,1.4881854905900633e8,0.0,0.0,2.8957207637721676e7,1.9803602882033587e8,0.0,0.0,0.0,0.0,7.147989958802623e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.147989958802623e8,3.7581178551706386e8,3.389872103631984e8
G,CombinedCycle_NaturalGas_G_New,7,1,29,0.0,0.0,0.0,0.0,0.0,0.0,-2.2157195003449092e-10,-1.4901001944895748e-9,0.0,0.0,0.0,0.0,-3.0027872825295713e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0027872825295713e-9,-1.7116721445240656e-9,-1.2911151380055057e-9
G,CombustionTurbine_NaturalGas_G_Existing,7,1,30,0.0,0.0,0.0,732200.0421115957,0.0,0.0,35872.689658733696,193037.88745646147,0.0,0.0,0.0,0.0,3.4936521725231456e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4936521725231456e6,961110.6192267908,2.5325415532963546e6
G,CombustionTurbine_NaturalGas_G_New,7,1,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,SteamTurbine_NaturalGas_G_Existing,7,1,32,0.0,0.0,0.0,1.1946292581107825e8,0.0,0.0,1.1225664847878558e6,2.5918206048136703e6,0.0,0.0,0.0,0.0,1.231773129006798e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.231773129006798e8,1.2317731290067977e8,2.9802322387695312e-8
J,CombinedCycle_NaturalGas_J_Existing,10,1,33,0.0,0.0,0.0,3.7479478571815306e8,0.0,0.0,1.123910357778115e8,6.67469561156225e8,0.0,0.0,0.0,0.0,2.257471523955134e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257471523955134e9,1.1546553826521895e9,1.1028161413029444e9
J,CombinedCycle_NaturalGas_J_New,10,1,34,0.0,0.0,0.0,0.0,0.0,0.0,1.5779227800925986e-11,1.4633650948780997e-10,0.0,0.0,0.0,0.0,1.8428434044425279e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8428434044425279e-10,1.6211573728873594e-10,2.2168603155516845e-11
J,CombustionTurbine_NaturalGas_J_Existing,10,1,35,0.0,0.0,0.0,5.312288700406076e7,0.0,0.0,1.1559913880899526e7,5.520402676944205e7,0.0,0.0,0.0,0.0,3.505905364666596e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.505905364666596e8,1.1988682765440235e8,2.3070370881225726e8
J,CombustionTurbine_NaturalGas_J_New,10,1,36,7.013923302606442e8,0.0,0.0,7.241553154550876e7,0.0,0.0,2.0093846032335974e7,9.591219204259995e7,0.0,0.0,0.0,0.0,8.898138998810914e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.898138998810914e8,8.898138998810889e8,2.5033950805664062e-6
J,SteamTurbine_NaturalGas_J_Existing,10,1,37,0.0,0.0,0.0,0.0,0.0,0.0,-6.080621720424721e-10,-1.1656084097921847e-9,0.0,0.0,0.0,0.0,-9.43377462034631e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.43377462034631e-10,-1.7736705818346569e-9,8.302931198000259e-10
K,CombinedCycle_NaturalGas_K_Existing,11,1,38,0.0,0.0,0.0,6.576654433515482e7,0.0,0.0,1.7574375287374802e7,1.1100382374222283e8,0.0,0.0,0.0,0.0,4.1100828558696884e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1100828558696884e8,1.9434474336475247e8,2.1666354222221637e8
