BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t26,6990.344415387647,0.0,-0.0,0.0,0.0,0.0,0.0,-288.40067017564843,-12.943745211998648,-6689.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-632.6504285107337,-3.892646525616621,-1910.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,921.0510986863821,-9.051098686382026,-912.0
t27,6743.467340350268,0.0,-0.0,0.0,0.0,0.0,0.0,-215.46213265695923,-13.005207693309417,-6515.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-681.3507792218865,-4.192295814463761,-1861.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,896.8129118788457,-8.812911878845657,-888.0
t28,6687.514862845748,0.0,-0.0,0.0,0.0,0.0,0.0,-198.48589390469863,-13.028968941048845,-6476.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-693.277395722577,-4.265679313773265,-1849.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,891.7632896272755,-8.76328962727558,-883.0
t29,6889.390538045733,0.0,-0.0,0.0,0.0,0.0,0.0,-258.4237315046907,-12.966806541040999,-6618.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-652.5281226785512,-4.014952357799127,-1890.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,910.9518541832418,-8.951854183241872,-902.0
t30,7403.103384105026,0.0,-0.0,0.0,0.0,0.0,0.0,-410.2801545343376,-12.823229570687845,-6980.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-550.157997714291,-3.3850773220592183,-1993.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,960.4381522486286,-9.438152248628626,-951.0
t31,8174.67646235267,0.0,-0.0,0.0,0.0,0.0,0.0,-639.0666936581604,-12.609768694510556,-7523.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-396.1058679137053,-2.4372071226447938,-2148.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1035.1725615718656,-10.172561571865764,-1025.0
t32,8807.333961222264,0.0,-0.0,0.0,0.0,0.0,0.0,-826.8954430929565,-12.438518129306583,-7968.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-269.88250994806447,-1.6605650882858798,-2275.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1096.777953041021,-10.777953041020703,-1086.0
t33,9582.914657787318,0.0,-0.0,0.0,0.0,0.0,0.0,-1057.685791375484,-12.228866411834185,-8513.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-114.83649543908787,-0.7065795972623293,-2431.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1172.522286814572,-11.522286814571856,-1161.0
t34,10332.533241176245,0.0,-0.0,0.0,0.0,0.0,0.0,-1248.266620588123,-12.26662058812301,-9072.0,2591.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2591.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1248.266620588123,-12.26662058812301,-1236.0
t35,10799.644779611413,0.0,-0.0,0.0,0.0,0.0,0.0,-1304.8223898057079,-12.82238980570787,-9482.0,2708.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2708.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1304.8223898057079,-12.82238980570787,-1292.0
