Zone,1,2,3,Total
t124,3420.9471593807575,962.0513779973727,0.0,4382.99853737813
t125,3528.5117912516575,962.0513779973727,0.0,4490.563169249031
t126,3910.7080178598453,962.0513779973727,0.0,4872.759395857218
t127,4504.992921394515,1082.360328,0.0,5587.353249394515
t128,4623.98615137215,1384.7221297144529,0.0,6008.708281086603
t129,4623.98615137215,1432.8792782489531,0.0,6056.8654296211025
t130,4623.98615137215,1438.9998674726155,0.0,6062.986018844766
t131,4623.98615137215,1412.9999199782242,0.0,6036.986071350374
t132,4623.98615137215,1325.4758754111856,0.0,5949.462026783335
t133,4623.98615137215,1229.5288602934734,0.0,5853.515011665623
t134,4623.98615137215,1179.0710944620637,0.0,5803.057245834214
t135,4615.242939452716,1108.805432,0.0,5724.048371452716
t136,4623.98615137215,1127.461255952098,0.0,5751.447407324248
t137,4623.98615137215,1454.6738751074145,0.0,6078.660026479564
t138,4623.98615137215,1768.5055124156643,0.0,6392.491663787814
t139,4623.98615137215,1668.3531466620223,0.0,6292.339298034172
t140,4623.98615137215,1490.6050282129422,0.0,6114.591179585092
t141,4623.98615137215,1254.373821369769,0.0,5878.359972741919
t142,4488.001656258424,1078.582456,0.0,5566.584112258424
t143,4141.8216298532925,995.469272,0.0,5137.290901853293
t144,3732.615732701578,962.0513779973727,0.0,4694.667110698951
t145,3389.418020209404,962.0513779973727,0.0,4351.4693982067765
t146,3199.114701945798,962.0513779973727,0.0,4161.166079943171
t147,3095.482784607379,962.0513779973727,0.0,4057.5341626047516
t148,3054.106208810387,962.0513779973727,0.0,4016.15758680776
t149,3094.3000772073788,962.0513779973727,0.0,4056.3514552047513
t150,3249.9396568346697,962.0513779973727,0.0,4211.991034832043
t151,3530.8723843178977,962.0513779973727,0.0,4492.92376231527
t152,3827.1730347199223,962.0513779973727,0.0,4789.224412717295
t153,4105.867920581111,986.4023792000002,0.0,5092.270299781111
t154,4252.867944658711,1021.5365888000001,0.0,5274.404533458712
t155,4293.962369625331,1031.7368432,0.0,5325.699212825331
t156,4259.585603553149,1023.4255248000002,0.0,5283.011128353149
t157,4181.339111619911,1004.5361647999999,0.0,5185.875276419911
t158,4092.8190134450197,983.3800816000002,0.0,5076.19909504502
t159,4030.7831401950925,968.6463808000001,0.0,4999.429520995092
t160,4073.45450836171,978.8466352,0.0,5052.30114356171
t161,4372.216686705787,1050.248416,0.0,5422.465102705786
t162,4623.98615137215,1167.9849024328337,0.0,5791.971053804984
t163,4616.433471999933,1109.1832192,0.0,5725.6166911999335
t164,4468.2429153751145,1073.6712224000003,0.0,5541.914137775115
t165,4327.952725044731,1039.6703744,0.0,5367.6230994447305
t166,4125.224600517202,991.3136128000001,0.0,5116.5382133172025
t167,3824.812441653681,962.0513779973727,0.0,4786.863819651054
t168,3461.5304418439896,962.0513779973727,0.0,4423.581819841363
t169,3156.5650622163257,962.0513779973727,0.0,4118.616440213698
t170,2979.6428375770806,962.0513779973727,0.0,3941.694215574453
t171,2875.230273785879,962.0513779973727,0.0,3837.2816517832516
t172,2847.252260227985,962.0513779973727,0.0,3809.3036382253576
t173,2876.4081594521194,962.0513779973727,0.0,3838.459537449492
t174,2989.103863549937,962.0513779973727,0.0,3951.1552415473097
t175,3206.5937203579783,962.0513779973727,0.0,4168.645098355351
t176,3434.7351356860945,962.0513779973727,0.0,4396.786513683467
t177,3752.3106059528554,962.0513779973727,0.0,4714.361983950228
t178,3998.17571553225,962.0513779973727,0.0,4960.227093529623
t179,4123.647657317202,990.9358256,0.0,5114.583482917202
t180,4201.499913450439,1009.4473984000001,0.0,5210.947311850439
t181,4214.935231239311,1012.4696960000001,0.0,5227.404927239311
t182,4191.218482061566,1006.8028880000002,0.0,5198.021370061566
t183,4176.600456872694,1003.4028032000002,0.0,5180.0032600726945
t184,4235.08820792262,1017.7587168000002,0.0,5252.84692472262
t185,4598.251674316624,1105.0275600000002,0.0,5703.279234316625
t186,4623.98615137215,1537.2399083780608,0.0,6161.226059750211
t187,4623.98615137215,1528.0689549365632,0.0,6152.055106308713
t188,4623.98615137215,1372.4856290367677,0.0,5996.471780408918
t189,4623.98615137215,1169.127619572112,0.0,5793.113770944262
t190,4396.714082336313,1056.2930112,0.0,5453.007093536313
t191,4033.94485174231,969.024168,0.0,5002.969019742311
t192,3645.135388148196,962.0513779973727,0.0,4607.186766145569
t193,3385.482302263464,962.0513779973727,0.0,4347.533680260837
t194,3260.9728042737665,962.0513779973727,0.0,4223.02418227114
t195,3214.482624864595,962.0513779973727,0.0,4176.534002861968
t196,3230.236958436173,962.0513779973727,0.0,4192.288336433546
t197,3383.1217091972235,962.0513779973727,0.0,4345.1730871945965
t198,3822.049787640223,962.0513779973727,0.0,4784.101165637596
t199,4491.549778458423,1079.3380304000002,0.0,5570.887808858423
t200,4623.98615137215,1394.2755481255897,0.0,6018.26169949774
t201,4623.98615137215,1437.4746853636975,0.0,6061.460836735847
t202,4623.98615137215,1443.2052181085455,0.0,6067.191369480695
t203,4623.98615137215,1440.5326410907098,0.0,6064.51879246286
t204,4623.98615137215,1389.6924102896605,0.0,6013.678561661811
t205,4623.98615137215,1290.3049744752973,0.0,5914.291125847447
t206,4623.98615137215,1228.386143154194,0.0,5852.3722945263435
t207,4623.98615137215,1148.49560064092,0.0,5772.48175201307
t208,4623.98615137215,1167.2199724935545,0.0,5791.206123865704
t209,4623.98615137215,1547.9483132072917,0.0,6171.934464579442
t210,4623.98615137215,2060.542552865453,0.0,6684.528704237603
t211,4623.98615137215,2044.490758030655,0.0,6668.476909402805
t212,4623.98615137215,1869.4181303389453,0.0,6493.404281711095
t213,4623.98615137215,1614.8374251036018,0.0,6238.823576475752
t214,4623.98615137215,1195.505354266502,0.0,5819.491505638652
t215,4252.473708858713,1021.5365888000001,0.0,5274.010297658713
t216,3826.3845631199215,962.0513779973727,0.0,4788.4359411172945
t217,3506.8427355869203,962.0513779973727,0.0,4468.894113584293
