Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
t163,11709.828158680499,2936.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,14645.828158680499
t164,11333.934958152238,2842.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,14175.934958152238
t165,10978.081455425232,2752.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,13730.081455425232
t166,10463.850823586294,2624.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,13087.850823586294
t167,9701.839461696987,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,12248.382536733337
t168,8780.355416337099,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,11326.89849137345
t169,8006.794568672671,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,10553.337643709021
t170,7558.021969534682,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,10104.565044571033
t171,7293.173967929547,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,9839.717042965898
t172,7222.206253790207,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,9768.749328826558
t173,7296.161737346328,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,9842.704812382679
t174,7582.020363320472,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,10128.563438356821
t175,8133.694911415905,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10680.237986452255
t176,8712.387702197757,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11258.930777234107
t177,9517.934713064758,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,12064.477788101109
t178,10141.584593616943,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12688.127668653293
t179,10459.850823586296,2623.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13082.850823586296
t180,10657.327197201366,2672.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13329.327197201366
t181,10691.406592803878,2680.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,13371.406592803878
t182,10631.247801598854,2665.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,13296.247801598854
t183,10594.168405996345,2656.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,13250.168405996345
t184,10742.525686207646,2694.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,13436.525686207646
t185,11663.709065276731,2925.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,14588.709065276731
t186,11728.985930177192,4069.062976135933,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,15798.048906313124
t187,11728.985930177192,4044.7875283666654,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,15773.773458543857
t188,11728.985930177192,3632.95958422299,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,15361.945514400182
t189,11728.985930177192,3094.672396449938,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,14823.65832662713
t190,11152.49828233842,2796.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,13948.49828233842
t191,10232.314903269338,2565.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,12797.314903269338
t192,9246.079093142216,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11792.622168178566
t193,8587.455279970678,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,11133.998355007028
t194,8271.630339694586,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10818.173414730936
t195,8153.705535784916,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,10700.248610821265
t196,8193.667237821053,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10740.210312857404
t197,8581.467510553895,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11128.010585590246
t198,9694.831843379578,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12241.374918415928
t199,11393.054051556006,2857.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14250.054051556006
t200,11728.985930177192,3690.6373432598816,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15419.623273437073
t201,11728.985930177192,3804.985148686079,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,15533.971078863271
t202,11728.985930177192,3820.1538276271544,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15549.139757804347
t203,11728.985930177192,3813.079535491699,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,15542.065465668891
t204,11728.985930177192,3678.505810386536,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15407.491740563728
t205,11728.985930177192,3415.4279829366824,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15144.413913113875
t206,11728.985930177192,3251.529281971951,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,14980.515212149143
t207,11728.985930177192,3040.0595907985235,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14769.045520975716
t208,11728.985930177192,3089.622868359633,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14818.608798536825
