Resource,CombinedCycle_NaturalGas_NY_Existing,CombinedCycle_NaturalGas_NY_New,CombustionTurbine_NaturalGas_NY_Existing,CombustionTurbine_NaturalGas_NY_New,SteamTurbine_NaturalGas_NY_Existing,SteamTurbine_NaturalGas_NY_New,SteamTurbine_FuelOil6_NY_Existing,SteamTurbine_FuelOil6_NY_New,CombustionTurbine_FuelOil2_NY_Existing,CombustionTurbine_FuelOil2_NY_New,Nuclear_NY_Existing,Nuclear_NY_New,Total
t4961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4963,0.0,0.0,0.0,972.6408864903751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.6408864903751
t4964,0.0,0.0,0.0,1577.7670671558162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1577.7670671558162
t4965,0.0,0.0,0.0,1626.3645528780162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1626.3645528780162
t4966,0.0,0.0,0.0,1291.6894052847829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.6894052847829
t4967,0.0,0.0,0.0,1931.6358768706991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1931.6358768706991
t4968,0.0,0.0,0.0,1933.6827926194692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1933.6827926194692
t4969,0.0,0.0,405.9581631197673,1340.3745827585267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1746.332745878294
t4970,0.0,0.0,1346.8338365973966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346.8338365973966
t4971,0.0,0.0,213.2080002828362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.2080002828362
t4972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
