BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t96,16064.099999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16064.1
t97,15127.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15127.0
t98,14518.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14518.8
t99,14201.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14201.3
t100,14038.099999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14038.1
t101,14083.099999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14083.1
t102,14381.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14381.7
t103,14998.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14998.0
t104,15740.400000000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15740.400000000001
t105,16472.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16472.2
t106,17204.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17204.5
t107,17624.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17624.3
t108,17811.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17811.6
t109,17794.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17794.6
t110,17723.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17723.5
t111,17675.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17675.3
t112,17753.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17753.1
t113,18267.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18267.8
t114,18996.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18996.2
t115,18948.9,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18948.9
t116,18559.9,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18559.9
t117,18139.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18139.2
