Resource,Battery_NY_Existing,Battery_NY_New,Hydro_NY,PumpedHydro_NY,Total
t41,342.66540010962655,0.0,6862.482161386822,1544.7659323367427,8749.913493833192
t42,228.39789916697404,0.0,6187.043934938505,1496.5106215578285,7911.952455663308
t43,114.17610522469856,0.0,5511.605708490189,1448.2553107789142,7074.0371244938015
t44,0.0,0.0,4836.167482041872,1400.0,6236.167482041872
t45,0.0,0.0,4248.561773551683,1351.7446892210858,5600.306462772768
t46,0.0,0.0,3222.7409402189824,1351.7446892210858,4574.485629440068
t47,0.0,0.0,1825.5303186611545,1400.0,3225.5303186611545
t48,0.0,0.0,1578.5303186611545,700.0,2278.5303186611545
t49,0.0,0.0,1767.930318661156,0.0,1767.930318661156
t50,0.0,0.0,784.7303186611553,710.9856294400695,1495.7159481012247
t51,0.0,0.0,0.0,1362.7303186611553,1362.7303186611553
t52,0.0,0.0,1734.6225268043784,1351.7446892210858,3086.367216025464
t53,0.0,0.0,5490.784300356061,1400.0,6890.784300356061
t54,0.0,0.0,8747.71575524659,1351.7446892210858,10099.460444467677
t55,0.0,0.0,9729.247210137119,2003.4893784421715,11732.73658857929
t56,0.0,0.0,10135.178665027648,1955.2340676632573,12090.412732690906
t57,0.0,0.0,10119.110119918174,1906.978756884343,12026.088876802518
t58,0.0,0.0,9882.641574808698,1858.7234461054288,11741.365020914127
t59,0.0,0.0,9479.673029699226,1810.4681353265146,11290.141165025741
t60,33.8859632014539,0.0,9023.07191589252,1762.2128245476003,10819.170703641574
t61,130.47240881617336,0.0,8636.003370783046,1713.957513768686,10480.433293367905
t62,227.02021985264687,0.0,8276.634825673573,1665.7022029897719,10169.357248515993
t63,323.52941176470586,0.0,7876.766280564099,1617.4468922108576,9817.742584539663
t64,420.0,0.0,7528.043382852187,1569.1915814319434,9517.234964284131
t65,342.66540010962655,0.0,6852.605156403871,1520.9362706530292,8716.206827166527
t66,228.39789916697404,0.0,6177.166929955554,1472.680959874115,7878.245788996643
t67,114.17610522469856,0.0,5501.728703507238,1424.4256490952007,7040.330457827136
t68,0.0,0.0,4826.290477058921,1376.1703383162865,6202.460815375208
t69,0.0,0.0,4248.561773551683,1351.7446892210858,5600.306462772768
t70,0.0,0.0,3177.6856294400695,1351.7446892210858,4529.430318661155
t71,0.0,0.0,1933.8856294400703,1351.7446892210858,3285.630318661156
t72,0.0,0.0,1754.6856294400695,651.7446892210858,2406.430318661155
t73,0.0,0.0,518.5856294400674,1351.7446892210858,1870.3303186611531
t74,0.0,0.0,894.3303186611538,700.0,1594.3303186611538
t75,0.0,0.0,1503.430318661156,0.0,1503.430318661156
t76,0.0,0.0,1768.0303186611545,0.0,1768.0303186611545
t77,0.0,0.0,4248.561773551683,203.89699102696363,4452.458764578646
t78,0.0,0.0,6018.0605577854585,1375.5743509047993,7393.634908690257
t79,0.0,0.0,6615.792012675984,2027.319040125885,8643.111052801869
t80,0.0,0.0,6656.323467566512,1979.0637293469708,8635.387196913482
t81,0.0,0.0,6414.85492245704,1930.8084185680566,8345.663341025096
