BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t25,0.0,248.10991314999907,-1946.5000000000005,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-8125.999999999999,10128.30653352897,1970.3163010433348,-3841.320615422304,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2321.0,3510.644624550044,1725.6950399632135,-89.0319705132577,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1108.0
t26,0.0,106.10991314999963,-2088.5,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-7842.0,13662.312815302957,162.31316015634033,-5649.323756309299,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2239.0,6923.034704476471,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1069.0
t27,0.0,48.609913149999514,-2146.0,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-7727.0,2331.6653026843614,5811.636916465639,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2207.0,3278.580683523529,1814.7270104764712,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1054.0
t28,0.0,51.60991314999963,-2143.0,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-7733.0,13307.38038423521,324.7793756902153,-5486.857540775423,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2209.0,6909.034704476471,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1055.0
t29,0.0,2151.9560661499995,-42.65384699999997,0.0,0.0,0.0,0.0,5900.0,-36.30221915,-7973.0,14024.93913561564,0.0,-5811.636916465639,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2277.0,0.0,1450.8635052382358,-363.86350523823563,0.0,0.0,0.0,0.0,-0.0,-0.0,-1087.0
t30,0.0,537.1099131499997,-1657.4999999999998,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-8704.0,6642.982753985919,3794.9781908148598,-2016.6587256507787,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2485.0,7040.03470447647,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1186.0
t31,0.0,1202.1099131499998,-992.4999999999998,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-10034.0,9701.070868067658,2455.934133773991,-3355.7027826916474,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2865.0,3894.5110006911914,1663.76185189264,-150.9651585838311,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1368.0
t32,0.0,1575.6099131499996,-618.9999999999998,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-10781.0,3837.3965778231577,5494.771278896242,-316.8656375693972,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3079.0,7323.03470447647,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1469.0
t33,1840.8980343742573,2194.6099131499996,-0.0,0.0,0.0,0.0,0.0,6953.143431562234,-46.65137908648955,-10942.0,3250.665302684362,5811.636916465639,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3126.0,1042.6958981899138,1663.76185189264,-150.9651585838311,0.0,0.0,0.0,0.0,-1053.143431562233,-10.34915993648955,-1492.0
t34,5463.582698349286,262.3054017371913,-1932.304511412808,0.0,0.0,0.0,0.0,7289.371881670558,-49.95547034422762,-11033.0,14898.939135615637,0.0,-5811.636916465639,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3151.0,4721.752143341256,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-1389.3718816705573,-13.653251194227618,-1504.0
