Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.88244075097345
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.882440750973448
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.88244075097345
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.88244075097345
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.88244075097345
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.88244075097345
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.882440750973448
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.802468396085818,25.022773546440945,12.882440750973448
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.882440750973448
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.882440750973448
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80321249571841,25.022773546440945,12.88244075097345
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80321249571841,25.022773546440945,12.88244075097345
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80321249571841,25.022773546440945,12.88244075097345
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80321249571841,25.022773546440945,12.88244075097345
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80321249571841,25.022773546440945,12.88244075097345
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80321249571841,25.022773546440945,12.88244075097345
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80321249571841,25.022773546440945,12.88244075097345
