Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
t29,-0.0,-0.0,-0.0,-0.0,14024.93913561564,-0.0,0.0,2151.9560661499995,0.0,1450.8635052382358,17627.758707003875
t30,-0.0,-0.0,-0.0,-0.0,6642.982753985919,-0.0,7040.03470447647,537.1099131499997,3794.9781908148598,0.0,18015.10556242725
t31,-0.0,-0.0,-0.0,-0.0,9701.070868067658,-0.0,3894.5110006911914,1202.1099131499998,2455.934133773991,1663.76185189264,18917.387767575477
t32,-0.0,-0.0,-0.0,-0.0,3837.3965778231577,-0.0,7323.03470447647,1575.6099131499996,5494.771278896242,0.0,18230.81247434587
t33,-0.0,-0.0,-0.0,1840.8980343742573,1032.41575927817,2218.2495434061916,1042.6958981899138,2194.6099131499996,5811.636916465639,1663.76185189264,15804.26791675681
t34,-0.0,-0.0,-0.0,5463.582698349286,9802.824712877185,5096.114422738451,4721.752143341256,262.3054017371913,0.0,0.0,25346.57937904337
t35,-0.0,-0.0,-0.0,6017.541005940807,6587.000852582965,5059.283109564915,1464.0054251999484,0.0,1638.8275867338793,1663.76185189264,22430.41983191515
t36,-0.0,-0.0,-0.0,6390.787304653386,4687.321317334878,6765.242569739186,4392.556719169675,0.0,1732.6876242707879,0.0,23968.595535167915
t37,-0.0,-0.0,-0.0,5651.050296345198,0.0,4376.229665255687,1695.32915769417,0.0,5255.854735179977,1663.76185189264,18642.225706367673
t38,-0.0,-0.0,-0.0,4406.333001543521,10258.002537127153,4608.936598488487,3303.7270104764716,1422.7895653782386,0.0,0.0,23999.78871301387
t39,-0.0,-0.0,-0.0,4021.2644218762443,10682.780941349609,3237.807258073641,3134.633652209216,0.0,456.17546809619427,1663.76185189264,23196.42359349754
t40,-0.0,-0.0,-0.0,2207.3887439698665,2629.1474296855363,3626.2101969945743,6266.15616999336,1006.0213553347919,4289.290754467764,0.0,20024.214650445894
t41,-0.0,-0.0,-0.0,449.24667627848845,7245.352203028841,304.6954089810769,4066.5110006911914,1610.9865750107551,3712.4457618028605,1663.76185189264,19052.999477685855
t42,-0.0,-0.0,-0.0,-0.0,11198.41981082391,-0.0,7493.03470447647,2194.6099131499996,1990.7596623958646,0.0,22876.824090846243
t43,-0.0,-0.0,-0.0,-0.0,3528.665302684362,-0.0,4141.581306636761,2144.6099131499996,5811.636916465639,1668.7266989198552,17295.220137856617
t44,-0.0,-0.0,-0.0,-0.0,13233.628737350356,-0.0,7428.034704476471,1955.6099131499996,905.1551991326417,0.0,23522.428554109472
t45,-0.0,-0.0,-0.0,-0.0,13858.22522786354,-0.0,3723.580683523529,1683.6099131499993,514.8569538760497,1814.7270104764712,21594.99978888959
t46,-0.0,-0.0,-0.0,-0.0,3036.665302684362,-0.0,7244.034704476471,1283.6099131499989,5811.636916465639,0.0,17375.94683677647
t47,-0.0,-0.0,-0.0,-0.0,12566.288911131855,-0.0,3477.5806835235285,782.1099131499998,903.3251122418924,1814.7270104764712,19544.031630523747
t48,-0.0,-0.0,-0.0,-0.0,14038.595007695514,-0.0,6218.935840825892,702.713942374047,37.67206396006229,0.0,20997.916854855514
t49,-0.0,-0.0,-0.0,-0.0,6082.250170101487,-0.0,3274.580683523529,38.60991314999973,3933.3444827570765,1814.7270104764712,15143.512260008563
t50,-0.0,-0.0,-0.0,-0.0,2221.665302684362,-0.0,6559.522561805354,0.0,5811.636916465639,0.0,14592.824780955354
t51,-0.0,-0.0,-0.0,-0.0,13792.939135615637,-0.0,0.0,1335.2544607161078,0.0,1814.7270104764712,16942.920606808217
t52,-0.0,-0.0,-0.0,-0.0,2156.665302684362,-0.0,0.0,1723.4560661499993,5811.636916465639,1392.3635052382358,11084.121790538236
t53,-0.0,-0.0,-0.0,-0.0,8033.782804754614,-0.0,2905.6318650385947,0.0,2902.0781654305133,1814.7270104764712,15656.219845700194
t54,-0.0,-0.0,-0.0,-0.0,2407.665302684362,-0.0,2904.727010476471,2162.4560661499995,5811.636916465639,-0.0,13286.485295776472
t55,-0.0,-0.0,-0.0,-0.0,6664.641504793314,-0.0,4055.0648211419,853.6099131499992,3874.6488154111626,1535.9849416672853,16983.94999616366
t56,-0.0,-0.0,-0.0,-0.0,3002.665302684362,-0.0,5248.507988357464,2194.6099131499996,5811.636916465639,0.0,16257.420120657463
t57,-0.0,-0.0,-0.0,1702.4084574763774,10753.928285568622,2616.6973859199074,2137.5781374594503,1951.8996413368768,638.6567320635552,978.1373662137291,20779.306006038518
t58,-0.0,-0.0,-0.0,6031.052184174746,0.0,7172.061165246888,188.99833568119985,205.42997406262697,3731.9389851843757,1501.8643373976356,18831.34498174747
t59,-0.0,-0.0,-0.0,9162.267739890225,0.0,9671.568009250996,2665.113077488618,315.3052285498035,793.5309542410374,264.8069664939265,22872.5919759146
t60,-0.0,-0.0,-0.0,10685.653085766906,0.0,10883.653042780115,0.0,0.0,0.0,1311.852325226826,22881.158453773845
t61,-0.0,-0.0,-0.0,11084.23284366812,0.0,11102.966771222538,1275.3869974909785,0.0,0.0,291.6878917083232,23754.27450408996
t62,-0.0,-0.0,-0.0,10913.654218464633,0.0,10816.68701882823,0.0,0.0,0.0,1099.2180016863267,22829.559238979193
t63,-0.0,-0.0,-0.0,9528.758449485835,0.0,9403.703913443456,1288.8582597444927,0.0,840.5531003970763,929.4343753659892,21991.308098436846
t64,-0.0,-0.0,-0.0,6677.8998421246,368.0080829224357,6247.930034710874,1651.1036377614469,1006.0213553347919,2664.086593423157,749.311686357512,19364.361232634816
t65,-0.0,-0.0,-0.0,2619.4796801050206,6395.867690096008,2959.8982586733187,5236.425311186175,1006.0213553347919,2664.086593423157,0.0,20881.778888818473
t66,-0.0,-0.0,-0.0,-0.0,9553.657932158632,-0.0,7379.034704476471,1776.1099131499996,2694.140601728504,0.0,21402.94315151361
t67,-0.0,-0.0,-0.0,-0.0,8073.3135493514965,-0.0,7380.034704476471,1781.1099131499996,3435.312793132072,0.0,20669.770960110036
t68,-0.0,-0.0,-0.0,-0.0,7735.593954452479,-0.0,3996.970382307143,1648.1099131499993,3566.17259058158,1673.0321610846643,18619.879001575868
