Resource,MA_battery,CT_battery,ME_battery,Total
t40,11292.447259673907,24565.710130700587,5988.828647104503,41846.986037479
t41,10078.308366619885,22461.69886059593,4319.27979746615,36859.287024681966
t42,7692.862808848147,23813.036736083748,5988.828647104503,37494.728192036404
t43,5407.765077163365,17496.040087751535,4309.315565345443,27213.120730260343
t44,3501.9821280872784,21026.138920814585,5978.864414983796,30506.98546388566
t45,2142.091352924236,25339.54936261869,4006.335055770241,31487.975771313166
t46,1584.9831864568466,19022.552714286478,5675.883905408595,26283.41980615192
t47,2034.3637156416294,22556.324452170265,3703.3545461950393,28294.042714006933
t48,2643.0885061750196,27827.424220866633,5372.903395833394,35843.416122875045
t49,4584.641209272846,25280.07882209908,3400.374036619838,33265.09406799176
t50,6603.682329370846,18963.082173766863,5069.922886258192,30636.687389395902
t51,5942.925801353387,24309.788136915253,3097.393527044637,33350.107465313275
t52,4503.065529560777,17992.791488583036,1972.5293592135556,24468.38637735737
t53,6522.106649658776,17515.152751023925,-0.0,24037.259400682702
t54,4201.19246482269,11198.156102691712,1669.5488496383534,17068.897417152755
t55,4507.075602703126,8768.61035630187,256.44270330445096,13532.128662309446
t56,2121.6300449313876,2451.6137079696555,1925.9915529428047,6499.2353058438475
t57,223.29345006807281,6516.563377550491,1632.461236301778,8372.318063920342
t58,1830.0455439603827,4373.430055650583,287.8336592325288,6491.309258843495
t59,3216.282779281908,8127.553894983045,1425.9264404639412,12769.763114728894
t60,5235.323899379908,13474.259858131432,462.6447104296737,19172.228467941015
t61,7254.3650194779075,18820.96582127982,1546.7886434916709,27622.1194842494
t62,9273.406139575907,24167.671784428207,1010.254755832597,34451.33267983671
t63,11292.447259673907,27827.424220866633,814.4692243016435,39934.34070484219
t64,11292.447259673907,27827.424220866633,980.1820981894425,40100.05357872998
t65,11292.447259673907,27827.424220866633,2649.730947827796,41769.60242836834
t66,9746.913006249993,27767.107132893812,4319.27979746615,41833.299936609954
t67,8191.3439702173855,26219.28968165192,5988.828647104503,40399.46229897381
t68,6902.700151576082,24408.84230648528,4300.674689974679,35612.21714803604
t69,6048.5624198913,18091.845658153066,5970.223539613033,30110.631617657396
t70,5913.918601249996,20154.63545663036,3997.694180399477,30066.248238279833
t71,6678.391304347823,23430.8002380533,5667.243030037831,35776.43457243896
t72,5590.091676192463,27827.424220866633,3694.7136708242756,37112.22956788337
t73,7609.1327962904625,21510.42757253442,5364.262520462629,34483.82288928751
t74,9628.173916388463,24016.364214558504,3391.733161249074,37036.27129219604
t75,8193.331035900203,17699.36756622629,5061.282010887428,30953.980613013922
t76,6752.467285846725,23046.073529374677,3936.417843056349,33734.95865827775
t77,8771.508405944725,25332.289919811636,5605.966692694702,39709.765018451064
t78,6386.062848172987,27827.424220866633,4319.27979746615,38532.76686650577
t79,4000.6172904012496,21510.42757253442,5988.828647104503,31499.873510040172
t80,1615.1717326295116,23540.120203879098,4319.27979746615,29474.571733974757
t81,651.9597656003809,17223.123555546885,5988.828647104503,23863.91196825177
t82,2671.000885698381,16687.784186337172,4907.267797877632,24266.052869913183
t83,4690.04200579638,16337.30655690566,3326.82449961177,24354.173062313814
t84,6709.08312589438,17134.012294569857,1750.3951143893867,25593.490534853623
t85,8728.12424599238,22480.718257718243,188.01442481917707,31396.856928529796
t86,7840.39039019107,27827.424220866633,1514.9025478760097,37182.71715893371
t87,9859.43151028907,27827.424220866633,3184.451397514363,40871.307128670065
t88,11292.447259673907,27787.699011271816,4854.000247152717,43934.146518098445
t89,11292.447259673907,27827.424220866633,2881.4708879391615,42001.3423684797
t90,8907.001701902167,26830.317161865492,4551.019737577516,40288.338601345175
t91,8907.001701902167,24328.365004202766,2578.49037836396,35813.857084468895
t92,8907.001701902167,24328.365004202766,4248.039228002314,37483.40593410725
t93,8279.72797162939,21625.534028040784,2275.509868788759,32180.771868458934
t94,8279.72797162939,21257.883365657228,3945.0587184271126,33482.67005571373
t95,8279.72797162939,18508.62751866213,1972.5293592135556,28760.884849505077
t96,8279.72797162939,17561.546337166925,-0.0,25841.274308796317
t97,8279.72797162939,17561.546337166925,1669.5488496383537,27510.823158434672
t98,8279.72797162939,17561.546337166925,2928.1096151430593,28769.38392393938
t99,8279.72797162939,16591.715845178263,4597.6584647814125,29469.102281589065
t100,8279.72797162939,15932.827216016973,2625.129105567857,26837.68429321422
t101,8279.72797162939,15932.827216016973,3598.2027606151505,27810.757948261515
t102,8279.72797162939,13208.211320581286,5051.663133531398,26539.602425742076
t103,5894.2824138576525,10473.292945953908,3079.1337743178424,19446.709134129404
t104,3508.8368560859144,6501.914930229299,4748.682623956196,14759.43441027141
t105,2518.574054119918,5867.317177031732,5839.133186692076,14225.024417843728
t106,3270.324093181163,8976.514182319828,5988.828647104503,18235.666922605495
t107,5289.365213279162,13598.646973523839,5988.828647104503,24876.840833907503
t108,5614.293041832109,17026.821395648156,5988.828647104503,28629.943084584767
t109,5614.293041832109,19092.664640215586,5988.828647104503,30695.786329152197
t110,5614.293041832109,19347.185866266274,5988.828647104503,30950.307555202886
t111,5614.293041832109,19347.185866266274,5907.735521009829,30869.21442910821
t112,5614.293041832109,17661.598090566706,4695.157153617023,27971.048286015837
t113,5299.272629512019,12426.453432118175,3475.889075937258,21201.615137567453
t114,2913.827071740281,8922.34101619128,1972.5293592135556,13808.697447145116
t115,2385.4455577717385,8922.34101619128,-0.0,11307.786573963018
t116,-0.0,5874.402607351527,-0.0,5874.402607351527
t117,-0.0,2665.7277767704827,-0.0,2665.7277767704827
t118,-0.0,-0.0,-0.0,0.0
t119,-0.0,-0.0,1400.5305033909601,1400.5305033909601
t120,-0.0,-0.0,3070.079353029314,3070.079353029314
t121,2019.0411200979997,2290.723221973466,4739.628202667667,9049.392544739134
t122,3165.8748207977565,7637.429185121854,4319.27979746615,15122.58380338576
t123,4460.4048077501775,12984.135148270241,5988.828647104503,23433.36860312492
t124,6336.622053880226,16354.511985454408,4319.27979746615,27010.413836800784
t125,6336.622053880226,19992.70437046819,5988.828647104503,32318.15507145292
t126,6336.622053880226,24157.889365448955,4319.27979746615,34813.79121679533
t127,6336.622053880226,27716.646927534704,5988.828647104503,40042.097628519434
t128,6336.622053880226,27827.424220866633,4319.27979746615,38483.32607221301
t129,5886.642478622791,27369.619889751102,5988.828647104503,39245.09101547839
t130,5501.511415807505,23049.348166655647,4319.27979746615,32870.1393799293
t131,5501.511415807505,22546.439327846707,5988.828647104503,34036.77939075872
t132,5501.511415807505,21000.292127660563,4319.27979746615,30821.083340934216
t133,5501.511415807505,18346.78152475657,5988.828647104503,29837.12158766858
t134,5501.511415807505,16328.8716984897,4319.27979746615,26149.662911763357
t135,5501.511415807505,12633.993296664425,5988.828647104503,24124.33335957643
t136,5383.639429031416,6316.996648332215,4319.27979746615,16019.91587482978
t137,2998.193871259677,-0.0,5988.828647104503,8987.02251836418
t138,2037.9822040331774,1530.9146803385745,4781.109410424899,8350.00629479665
t139,942.3504548626984,4478.314069403606,2808.580051211343,8229.244575477645
t140,252.15348830091395,9284.066630259449,2468.6524159968276,12004.872534557191
t141,-0.0,14630.772593407837,496.123056783272,15126.895650191109
t142,52.798879902001126,11956.831064903547,1249.6302943769922,13259.260239182538
t143,765.407851851054,17303.537028051935,2919.179144015346,20988.124023918335
t144,2106.8805549488816,22650.24299120032,2407.0232973348543,27164.146843484057
t145,4042.4123884814903,16333.246342868108,4076.5721469732075,24452.230878322807
t146,4561.741215275925,21679.952306016497,5746.120996611561,31987.814517903982
t147,6580.782335373925,15362.955657684282,3773.591637398006,25717.329630456214
t148,5150.956846190013,20709.66162083267,2649.7309478277957,28510.34941485048
t149,7169.997966288012,14392.664972500455,4319.27979746615,25881.94273625462
t150,5374.906390147578,17757.10276012978,5988.828647104503,29120.83779738186
t151,3059.009596615839,13314.03333320567,4744.550566229946,21117.593496051457
t152,673.5640388441008,12177.421411068295,5988.828647104503,18839.814097016897
t153,1448.9365176203526,6927.758464411022,5988.828647104503,14365.523629135878
t154,3467.977637718352,5037.265506300684,5585.838413924737,14091.081557943773
t155,5487.018757816352,6298.1311450439725,4111.76381131105,15896.913714171375
t156,5235.323899379908,10258.462048105766,2649.7309478277957,18143.51689531347
t157,7254.3650194779075,15605.168011254154,4319.27979746615,27178.812828198214
t158,9273.406139575907,20951.87397440254,5988.828647104503,36214.108761082956
t159,11292.447259673907,26298.57993755093,5988.828647104503,43579.855844329344
t160,11292.447259673907,27827.424220866633,4606.070566229945,43725.942046770484
t161,11292.447259673907,21623.59222015533,5988.828647104503,38904.86812693374
t162,10590.838223641298,24895.811974773867,5988.828647104503,41475.47884551967
t163,8205.39266586956,27827.424220866633,5988.828647104503,42021.645533840696
t164,7733.580151576082,27221.740257276244,5988.828647104503,40944.149055956834
t165,7572.845898152171,20904.74360894403,5988.828647104503,34466.4181542007
t166,7884.749905597823,14587.746960611817,5988.828647104503,28461.325513314143
t167,5499.304347826085,19934.452923760204,5988.828647104503,31422.58591869079
t168,7058.531833532605,25281.158886908594,5988.828647104503,38328.5193675457
t169,6508.756779131305,18850.13771803045,5988.828647104503,31347.72314426626
t170,5146.172841547184,24196.84368117884,4319.27979746615,33662.296320192174
t171,7083.711631601532,27827.424220866633,5988.828647104503,40899.96449957267
t172,5039.757446765446,21510.42757253442,5988.828647104503,32539.013666404368
t173,6865.910149863273,15193.430924202205,5988.828647104503,28048.16972116998
t174,4480.464592091533,17846.13415600162,4730.73709168736,27057.33583978051
t175,2095.0190343197946,11529.137507669404,5988.828647104503,19612.985189093703
t176,245.81700944972508,5212.1408593371825,5634.303968575396,11092.261837362305
t177,1810.9816032997524,935.1499398053961,4185.316322483447,6931.447865588596
t178,556.3317574968667,4555.195054097099,2676.1199807393245,7787.646792333291
t179,2575.372877594866,4021.578310843827,4345.668830377677,10942.620018816371
t180,4594.413997692866,9368.284273992214,3448.935151309131,17411.63342299421
t181,6613.455117790866,14714.990237140602,4209.976123700424,25538.42147863189
