Zone,1,2,3,Total
t177,0.0,0.0,0.0,0.0
t178,0.0,0.0,0.0,0.0
t179,0.0,0.0,0.0,0.0
t180,0.0,0.0,0.0,0.0
t181,0.0,0.0,0.0,0.0
t182,0.0,0.0,0.0,0.0
t183,0.0,0.0,0.0,0.0
t184,0.0,0.0,0.0,0.0
t185,0.0,0.0,0.0,0.0
t186,0.0,0.0,0.0,0.0
t187,0.0,0.0,0.0,0.0
t188,0.0,0.0,0.0,0.0
t189,0.0,0.0,0.0,0.0
t190,0.0,0.0,0.0,0.0
t191,0.0,0.0,0.0,0.0
t192,0.0,0.0,0.0,0.0
t193,0.0,0.0,0.0,0.0
t194,0.0,0.0,0.0,0.0
t195,0.0,0.0,0.0,0.0
t196,0.0,0.0,0.0,0.0
t197,0.0,0.0,0.0,0.0
t198,0.0,0.0,0.0,0.0
t199,0.0,0.0,0.0,0.0
t200,0.0,0.0,0.0,0.0
t201,0.0,0.0,0.0,0.0
t202,0.0,0.0,0.0,0.0
t203,0.0,0.0,0.0,0.0
t204,0.0,0.0,0.0,0.0
t205,0.0,0.0,0.0,0.0
t206,0.0,0.0,0.0,0.0
t207,0.0,0.0,0.0,0.0
t208,0.0,0.0,0.0,0.0
t209,0.0,0.0,0.0,0.0
t210,455.94089073341576,0.0,0.0,455.94089073341576
t211,591.3691999636519,0.0,0.0,591.3691999636519
t212,591.3691999636519,0.0,0.0,591.3691999636519
t213,591.3691999636519,0.0,0.0,591.3691999636519
t214,591.3691999636519,0.0,0.0,591.3691999636519
t215,591.3691999636519,0.0,0.0,591.3691999636519
t216,591.3691999636519,0.0,0.0,591.3691999636519
t217,591.3691999636519,0.0,0.0,591.3691999636519
t218,276.7607855829891,0.0,0.0,276.7607855829891
t219,276.7607855829891,0.0,0.0,276.7607855829891
t220,726.1037005492498,0.0,0.0,726.1037005492498
t221,697.5279846244146,0.0,0.0,697.5279846244146
t222,697.5279846244146,0.0,0.0,697.5279846244146
t223,697.5279846244146,0.0,0.0,697.5279846244146
t224,697.5279846244146,0.0,0.0,697.5279846244146
t225,697.5279846244146,0.0,0.0,697.5279846244146
t226,326.443096804226,0.0,0.0,326.443096804226
t227,326.443096804226,0.0,0.0,326.443096804226
t228,326.443096804226,0.0,0.0,326.443096804226
t229,326.443096804226,0.0,0.0,326.443096804226
t230,326.443096804226,0.0,0.0,326.443096804226
t231,326.443096804226,0.0,0.0,326.443096804226
t232,326.443096804226,0.0,0.0,326.443096804226
t233,326.443096804226,0.0,0.0,326.443096804226
t234,2293.957694239095,0.0,0.0,2293.957694239095
t235,2370.5722152104904,0.0,0.0,2370.5722152104904
t236,2370.5722152104904,0.0,0.0,2370.5722152104904
t237,2370.5722152104904,0.0,0.0,2370.5722152104904
t238,2370.5722152104904,0.0,0.0,2370.5722152104904
