Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
,,,,,,,,336,38037.515625
,,,,,,,,337,37864.33203125
,,,,,,,,338,38146.40234375
,,,,,,,,339,38945.38671875
,,,,,,,,340,40604.80078125
,,,,,,,,341,43245.875
,,,,,,,,342,45949.6875
,,,,,,,,343,46483.50390625
,,,,,,,,344,45210.90625
,,,,,,,,345,43329.31640625
,,,,,,,,346,41554.4765625
,,,,,,,,347,39891.43359375
,,,,,,,,348,38547.44140625
,,,,,,,,349,37826.97265625
,,,,,,,,350,37559.88671875
,,,,,,,,351,37959.171875
,,,,,,,,352,39429.34765625
,,,,,,,,353,42165.625
,,,,,,,,354,43854.09765625
,,,,,,,,355,44373.55859375
,,,,,,,,356,44315.04296875
,,,,,,,,357,43624.296875
,,,,,,,,358,42450.9609375
,,,,,,,,359,41667.60546875
,,,,,,,,360,41668.07421875
,,,,,,,,361,42326.09765625
,,,,,,,,362,43461.86328125
,,,,,,,,363,45228.5
,,,,,,,,364,47929.03125
,,,,,,,,365,51916.54296875
,,,,,,,,366,56065.375
,,,,,,,,367,58241.41796875
,,,,,,,,368,59718.30078125
,,,,,,,,369,60644.77734375
,,,,,,,,370,61115.13671875
,,,,,,,,371,61033.98828125
,,,,,,,,372,60570.13671875
,,,,,,,,373,59426.828125
,,,,,,,,374,58571.60546875
,,,,,,,,375,58482.97265625
,,,,,,,,376,59476.96875
,,,,,,,,377,61879.90234375
,,,,,,,,378,63266.80859375
,,,,,,,,379,63176.99609375
,,,,,,,,380,62345.828125
,,,,,,,,381,60530.83984375
,,,,,,,,382,58373.62109375
,,,,,,,,383,56934.546875
,,,,,,,,384,56383.484375
,,,,,,,,385,56352.44921875
,,,,,,,,386,56772.21484375
,,,,,,,,387,57788.6875
,,,,,,,,388,59655.265625
,,,,,,,,389,62717.94921875
,,,,,,,,390,65436.63671874999
,,,,,,,,391,65405.00390625
,,,,,,,,392,64005.95703125001
,,,,,,,,393,61961.0
,,,,,,,,394,59536.171875
,,,,,,,,395,56945.61328125
,,,,,,,,396,54541.453125
,,,,,,,,397,52298.09765625
,,,,,,,,398,50549.61328125
,,,,,,,,399,50050.47265625
,,,,,,,,400,51322.59375
,,,,,,,,401,55009.92578125
,,,,,,,,402,57803.62890625
,,,,,,,,403,58638.484375
,,,,,,,,404,58432.22265625
,,,,,,,,405,56666.46484375
,,,,,,,,406,54339.578125
,,,,,,,,407,52803.44140625
,,,,,,,,408,52032.5625
,,,,,,,,409,52036.22265625
,,,,,,,,410,52334.28125
,,,,,,,,411,53095.71875
,,,,,,,,412,54768.03125
,,,,,,,,413,58110.25
,,,,,,,,414,61324.59375
,,,,,,,,415,60732.828125
,,,,,,,,416,58859.625
,,,,,,,,417,56793.078125
,,,,,,,,418,54770.95703125
,,,,,,,,419,52496.62890625
,,,,,,,,420,50394.51171875
,,,,,,,,421,48837.16015625
,,,,,,,,422,47951.40234375
,,,,,,,,423,48147.62890625
,,,,,,,,424,49305.51953125
,,,,,,,,425,51824.45703125
,,,,,,,,426,53323.48046875
,,,,,,,,427,53512.14453125
,,,,,,,,428,52993.23046875
,,,,,,,,429,50973.453125
,,,,,,,,430,48324.72265625
,,,,,,,,431,46211.22265625
,,,,,,,,432,44979.421875
,,,,,,,,433,44410.00390625
,,,,,,,,434,44224.0
,,,,,,,,435,44470.87890625
,,,,,,,,436,45819.41796875
,,,,,,,,437,48932.91796875
,,,,,,,,438,52107.05078125
,,,,,,,,439,51557.015625
,,,,,,,,440,50355.08984375
,,,,,,,,441,49258.99609375
,,,,,,,,442,47664.421875
,,,,,,,,443,45907.375
,,,,,,,,444,44360.09765625
,,,,,,,,445,42806.73828125
,,,,,,,,446,41682.15625
,,,,,,,,447,41393.75390625
,,,,,,,,448,41676.58203125
,,,,,,,,449,43106.58203125
,,,,,,,,450,43761.31640625
,,,,,,,,451,43037.00390625
,,,,,,,,452,42137.59375
,,,,,,,,453,40658.6328125
,,,,,,,,454,38648.3515625
,,,,,,,,455,36628.11328125
,,,,,,,,456,35269.57421875
,,,,,,,,457,34264.609375
,,,,,,,,458,33739.11328125
,,,,,,,,459,33549.52734375
,,,,,,,,460,33990.3828125
,,,,,,,,461,35039.8515625
,,,,,,,,462,36522.55859375
,,,,,,,,463,37553.171875
,,,,,,,,464,38189.453125
,,,,,,,,465,38170.75
,,,,,,,,466,37323.6640625
,,,,,,,,467,36260.33203125
,,,,,,,,468,35163.76953125
,,,,,,,,469,34383.640625
,,,,,,,,470,33751.9453125
,,,,,,,,471,33498.6796875
,,,,,,,,472,33595.87109375
,,,,,,,,473,34814.06640625
,,,,,,,,474,36082.85546875
,,,,,,,,475,35742.96484375
,,,,,,,,476,35143.23046875
,,,,,,,,477,34186.4140625
,,,,,,,,478,32698.994140625
,,,,,,,,479,31124.564453125
,,,,,,,,480,29760.865234375
,,,,,,,,481,28852.283203125
,,,,,,,,482,28226.392578125
,,,,,,,,483,27947.25
,,,,,,,,484,28018.560546875
,,,,,,,,485,28582.828125
,,,,,,,,486,29511.4765625
,,,,,,,,487,30435.939453125
,,,,,,,,488,31792.544921875
,,,,,,,,489,32867.1640625
,,,,,,,,490,33583.85546875
,,,,,,,,491,34104.125
,,,,,,,,492,34336.59765625
,,,,,,,,493,34330.12890625
,,,,,,,,494,34056.73828125
,,,,,,,,495,34111.91796875
,,,,,,,,496,34416.76953125
,,,,,,,,497,36064.3515625
,,,,,,,,498,37092.83203125
,,,,,,,,499,36916.30859375
,,,,,,,,500,36096.69140625
,,,,,,,,501,34341.6328125
,,,,,,,,502,32243.843750000004
,,,,,,,,503,30349.75
,,,,,,,,504,29099.9765625
,,,,,,,,505,28617.599609375
,,,,,,,,506,28629.9453125
,,,,,,,,507,29355.466796875
,,,,,,,,508,31085.314453125
,,,,,,,,509,34507.98828125
,,,,,,,,510,38966.63671875
,,,,,,,,511,39409.61328125
,,,,,,,,512,38894.83984375
,,,,,,,,513,38565.55859375
,,,,,,,,514,38230.92578125
,,,,,,,,515,37643.14453125
,,,,,,,,516,37043.24609375
,,,,,,,,517,36463.08984375
,,,,,,,,518,35834.57421875
,,,,,,,,519,35578.41015625
,,,,,,,,520,35892.70703125
,,,,,,,,521,37931.41015625
,,,,,,,,522,40202.046875
,,,,,,,,523,40602.53125
,,,,,,,,524,40332.80859375
,,,,,,,,525,39155.19921875
,,,,,,,,526,37183.71875
,,,,,,,,527,35798.34765625
,,,,,,,,528,35214.38671875
,,,,,,,,529,35347.81640625
,,,,,,,,530,35821.73828125
,,,,,,,,531,36784.16015625
,,,,,,,,532,39054.21484375
,,,,,,,,533,43317.140625
,,,,,,,,534,47618.69921875
,,,,,,,,535,47828.50390625
,,,,,,,,536,45814.10546875
,,,,,,,,537,43366.52734375
,,,,,,,,538,41084.64453125
,,,,,,,,539,39135.16796875
,,,,,,,,540,37514.21875
,,,,,,,,541,36499.015625
,,,,,,,,542,35627.03125
,,,,,,,,543,35355.63671875
,,,,,,,,544,35864.93359375
,,,,,,,,545,38136.04296875
,,,,,,,,546,40535.65625
,,,,,,,,547,41140.09375
,,,,,,,,548,41248.96875
,,,,,,,,549,40264.03515625
,,,,,,,,550,38437.14453125
,,,,,,,,551,37162.67578125
,,,,,,,,552,36822.0
,,,,,,,,553,37042.7578125
,,,,,,,,554,37580.69921875
,,,,,,,,555,38699.66796875
,,,,,,,,556,40935.171875
,,,,,,,,557,45010.63671875
,,,,,,,,558,49294.98828125
,,,,,,,,559,48945.83203125
,,,,,,,,560,46433.33203125
,,,,,,,,561,43668.57421875
,,,,,,,,562,41312.99609375
,,,,,,,,563,39339.921875
,,,,,,,,564,37807.37890625
,,,,,,,,565,36655.28515625
,,,,,,,,566,35783.70703125
,,,,,,,,567,35407.16015625
,,,,,,,,568,35665.6328125
,,,,,,,,569,37550.21484375
,,,,,,,,570,40046.9296875
,,,,,,,,571,40759.04296875
,,,,,,,,572,40920.40234375
,,,,,,,,573,40057.89453125
,,,,,,,,574,38401.296875
,,,,,,,,575,37137.0078125
,,,,,,,,576,36730.15234375
,,,,,,,,577,36856.3671875
,,,,,,,,578,37402.30859375
,,,,,,,,579,38546.72265625
,,,,,,,,580,40835.9765625
,,,,,,,,581,45074.12890625
,,,,,,,,582,49287.26171875
,,,,,,,,583,48783.89453125
,,,,,,,,584,46339.71484375
,,,,,,,,585,43757.42578125
,,,,,,,,586,41631.05078125
,,,,,,,,587,39919.8828125
,,,,,,,,588,38564.62890625
,,,,,,,,589,37601.53125
,,,,,,,,590,36905.71484375
,,,,,,,,591,36779.58984375
,,,,,,,,592,37315.65625
,,,,,,,,593,39352.640625
,,,,,,,,594,41173.734375
,,,,,,,,595,41333.609375
,,,,,,,,596,40799.33984375
,,,,,,,,597,38906.921875
,,,,,,,,598,36432.140625
,,,,,,,,599,34609.38671875
,,,,,,,,600,33528.15234375
,,,,,,,,601,33011.55859375
,,,,,,,,602,32843.0078125
,,,,,,,,603,33087.2578125
,,,,,,,,604,34402.40234375
,,,,,,,,605,37446.58203125
,,,,,,,,606,40703.71484375
,,,,,,,,607,40653.90234375
,,,,,,,,608,40300.78515625
,,,,,,,,609,40013.02734375
,,,,,,,,610,39382.6875
,,,,,,,,611,38522.5078125
,,,,,,,,612,37811.734375
,,,,,,,,613,37107.89453125
,,,,,,,,614,36413.09765625
,,,,,,,,615,36082.23828125
,,,,,,,,616,36165.22265625
,,,,,,,,617,37120.671875
,,,,,,,,618,37573.65234375
