Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
,,,,,,,471,19643.2
,,,,,,,472,19838.6
,,,,,,,473,20381.7
,,,,,,,474,21565.4
,,,,,,,475,21791.0
,,,,,,,476,21543.0
,,,,,,,477,21138.0
,,,,,,,478,20510.2
,,,,,,,479,19711.8
,,,,,,,480,18834.6
,,,,,,,481,18118.4
,,,,,,,482,17748.1
,,,,,,,483,17572.6
,,,,,,,484,17540.4
,,,,,,,485,17820.9
,,,,,,,486,18486.600000000002
,,,,,,,487,19643.4
,,,,,,,488,20723.5
,,,,,,,489,21649.3
,,,,,,,490,22349.1
,,,,,,,491,22825.9
,,,,,,,492,23072.2
,,,,,,,493,23060.6
,,,,,,,494,22951.9
,,,,,,,495,22877.0
,,,,,,,496,22923.6
,,,,,,,497,23486.9
,,,,,,,498,24614.8
,,,,,,,499,24727.6
,,,,,,,500,24269.0
,,,,,,,501,23638.9
,,,,,,,502,22581.2
,,,,,,,503,21174.0
,,,,,,,504,19885.0
,,,,,,,505,19012.9
,,,,,,,506,18482.1
,,,,,,,507,18201.4
,,,,,,,508,18110.1
,,,,,,,509,18331.6
,,,,,,,510,19213.2
,,,,,,,511,20788.600000000002
,,,,,,,512,21908.7
,,,,,,,513,22259.8
,,,,,,,514,22338.2
,,,,,,,515,22220.8
,,,,,,,516,21984.4
,,,,,,,517,21608.0
,,,,,,,518,21522.5
,,,,,,,519,21387.3
,,,,,,,520,21503.2
,,,,,,,521,22021.7
,,,,,,,522,23113.6
,,,,,,,523,23135.1
,,,,,,,524,22761.2
,,,,,,,525,22081.8
,,,,,,,526,21004.8
,,,,,,,527,19574.3
,,,,,,,528,18303.0
,,,,,,,529,17409.3
,,,,,,,530,16902.6
,,,,,,,531,16591.3
,,,,,,,532,16426.6
,,,,,,,533,16631.2
,,,,,,,534,17498.8
,,,,,,,535,19103.4
,,,,,,,536,20246.3
,,,,,,,537,20655.600000000002
,,,,,,,538,20922.5
,,,,,,,539,21066.6
,,,,,,,540,21009.100000000002
,,,,,,,541,20834.0
,,,,,,,542,20597.2
,,,,,,,543,20429.6
,,,,,,,544,20403.8
,,,,,,,545,20777.6
,,,,,,,546,21504.1
,,,,,,,547,21378.5
,,,,,,,548,20924.9
,,,,,,,549,20213.4
,,,,,,,550,19199.0
,,,,,,,551,17909.2
,,,,,,,552,16571.0
,,,,,,,553,15669.099999999999
,,,,,,,554,15112.7
,,,,,,,555,14743.3
,,,,,,,556,14657.6
,,,,,,,557,14848.900000000001
,,,,,,,558,15714.8
,,,,,,,559,17350.4
,,,,,,,560,18674.7
,,,,,,,561,19119.3
,,,,,,,562,19477.6
,,,,,,,563,19786.7
,,,,,,,564,19894.3
,,,,,,,565,19906.4
,,,,,,,566,19914.8
,,,,,,,567,19842.8
,,,,,,,568,19858.9
,,,,,,,569,20190.0
,,,,,,,570,20804.2
,,,,,,,571,20898.6
,,,,,,,572,20538.3
,,,,,,,573,19970.1
,,,,,,,574,19091.8
,,,,,,,575,17987.1
,,,,,,,576,16833.3
,,,,,,,577,16040.5
,,,,,,,578,15570.5
,,,,,,,579,15292.1
,,,,,,,580,15217.699999999999
,,,,,,,581,15465.9
,,,,,,,582,16379.0
,,,,,,,583,17984.4
,,,,,,,584,19219.3
,,,,,,,585,19626.7
,,,,,,,586,19766.6
,,,,,,,587,19682.9
,,,,,,,588,19511.9
,,,,,,,589,19297.4
,,,,,,,590,19292.0
,,,,,,,591,19394.8
,,,,,,,592,19583.0
,,,,,,,593,20156.2
,,,,,,,594,21122.2
,,,,,,,595,21209.199999999997
,,,,,,,596,20817.8
,,,,,,,597,20308.0
,,,,,,,598,19626.7
,,,,,,,599,18700.2
,,,,,,,600,17665.2
,,,,,,,601,16897.7
,,,,,,,602,16431.9
,,,,,,,603,16110.4
,,,,,,,604,16002.8
,,,,,,,605,16066.4
,,,,,,,606,16407.9
,,,,,,,607,17149.6
,,,,,,,608,17894.7
,,,,,,,609,18531.2
,,,,,,,610,18921.8
,,,,,,,611,18857.3
,,,,,,,612,18698.0
,,,,,,,613,18460.3
,,,,,,,614,18255.0
,,,,,,,615,18201.0
,,,,,,,616,18400.5
,,,,,,,617,18988.4
,,,,,,,618,19995.1
,,,,,,,619,20227.2
,,,,,,,620,19883.7
,,,,,,,621,19466.399999999998
,,,,,,,622,18908.3
,,,,,,,623,18137.5
,,,,,,,624,17273.7
,,,,,,,625,16464.8
,,,,,,,626,15951.0
,,,,,,,627,15635.2
,,,,,,,628,15470.3
,,,,,,,629,15459.199999999999
,,,,,,,630,15649.8
,,,,,,,631,16064.2
,,,,,,,632,16604.5
,,,,,,,633,17095.7
,,,,,,,634,17462.1
,,,,,,,635,17679.4
,,,,,,,636,17781.6
,,,,,,,637,17867.0
,,,,,,,638,17855.100000000002
,,,,,,,639,17891.6
,,,,,,,640,18111.0
,,,,,,,641,18715.5
,,,,,,,642,19752.2
,,,,,,,643,19972.0
,,,,,,,644,19680.4
,,,,,,,645,19175.6
,,,,,,,646,18409.6
,,,,,,,647,17405.0
,,,,,,,648,16429.7
,,,,,,,649,15763.7
,,,,,,,650,15421.0
,,,,,,,651,15272.7
,,,,,,,652,15336.1
,,,,,,,653,15698.6
,,,,,,,654,16758.9
,,,,,,,655,18593.9
,,,,,,,656,19844.5
,,,,,,,657,20295.1
,,,,,,,658,20433.2
,,,,,,,659,20373.2
,,,,,,,660,20277.0
,,,,,,,661,20171.4
,,,,,,,662,20098.5
,,,,,,,663,20045.4
,,,,,,,664,20254.8
,,,,,,,665,20793.3
,,,,,,,666,21908.2
,,,,,,,667,22162.8
,,,,,,,668,21922.5
,,,,,,,669,21324.0
,,,,,,,670,20396.5
,,,,,,,671,19055.6
,,,,,,,672,17757.8
,,,,,,,673,16887.8
,,,,,,,674,16424.9
,,,,,,,675,16130.9
,,,,,,,676,16078.0
,,,,,,,677,16316.4
,,,,,,,678,17245.2
,,,,,,,679,18920.4
,,,,,,,680,20107.5
,,,,,,,681,20619.8
,,,,,,,682,20944.5
,,,,,,,683,21005.5
,,,,,,,684,20956.0
,,,,,,,685,20862.5
,,,,,,,686,20848.4
,,,,,,,687,20668.2
,,,,,,,688,20731.7
,,,,,,,689,21177.0
,,,,,,,690,21968.4
,,,,,,,691,21904.699999999997
,,,,,,,692,21442.5
,,,,,,,693,20816.600000000002
,,,,,,,694,19845.9
,,,,,,,695,18536.7
,,,,,,,696,17283.4
,,,,,,,697,16505.9
,,,,,,,698,16118.8
,,,,,,,699,15935.1
,,,,,,,700,16004.5
,,,,,,,701,16417.4
,,,,,,,702,17391.7
,,,,,,,703,19128.4
,,,,,,,704,20429.8
